Dates,AA
2007-12-31,2434400.0
2008-01-02,3246500.0
2008-01-04,2997200.0
2008-01-07,4238900.0
2008-01-03,10245500.0
2008-01-08,11230700.0
2008-01-09,6931000.0
2008-01-10,12058800.0
2008-01-11,6895000.0
2008-01-14,5184500.0
2008-01-15,7624000.0
2008-03-14,6998000.0
2008-06-18,9822000.0
2009-01-28,9173100.0
2008-04-15,6929900.0
2008-11-25,7781000.0
2009-04-02,7611200.0
2008-10-07,7310700.0
2008-01-25,3514300.0
2008-02-26,5966900.0
2008-04-30,4261900.0
2008-09-05,3828700.0
2008-08-04,6319600.0
2008-07-03,3965000.0
2009-03-16,4718200.0
2009-02-12,3008800.0
2008-12-10,3769700.0
2009-04-08,4465700.0
2008-03-12,4681500.0
2008-10-22,5168000.0
2008-08-19,8773100.0
2008-07-18,7590000.0
2008-06-16,5860100.0
2009-02-27,5337200.0
2008-05-15,4538700.0
2009-01-26,5442400.0
2009-03-31,5340900.0
2009-04-14,9363200.0
2009-04-17,5999800.0
2009-04-20,5949300.0
2008-07-01,4753000.0
2008-05-30,9409600.0
2009-02-10,5811300.0
2009-01-09,6539900.0
2008-01-23,4891600.0
2008-03-27,4694000.0
2008-04-28,7387500.0
2008-12-08,6306200.0
2008-11-06,9071700.0
2008-09-03,6804800.0
2009-04-23,6944800.0
2008-09-18,6907300.0
2008-07-16,6220400.0
2009-02-25,8805100.0
2008-03-10,6422800.0
2008-02-07,9606600.0
2008-04-11,5922800.0
2008-05-13,4354600.0
2008-12-23,5947000.0
2008-11-21,5161900.0
2008-10-20,5159000.0
2009-04-29,5289000.0
2009-05-05,4963900.0
2008-11-04,4151600.0
2008-10-03,9292100.0
2008-07-31,5799600.0
2008-03-25,7684800.0
2008-02-22,6883100.0
2009-03-12,5019300.0
2008-05-28,6307600.0
2009-01-07,4867200.0
2009-04-13,5472200.0
2009-05-15,3528000.0
2009-05-08,3498100.0
2008-06-12,2985600.0
2009-02-23,3576400.0
2009-01-22,2268200.0
2008-11-19,3119900.0
2008-09-16,2616200.0
2008-02-05,3801900.0
2008-04-09,2909400.0
2008-08-15,2948900.0
2008-07-14,3884500.0
2009-03-27,3978100.0
2009-05-14,6554900.0
2008-09-22,5028200.0
2008-07-29,4156600.0
2008-06-27,5713800.0
2009-03-10,7278000.0
2009-02-06,9132700.0
2009-01-05,6481500.0
2008-12-04,10058100.0
2008-02-20,9048400.0
2008-04-24,7952500.0
2008-10-01,5471400.0
2009-05-13,7667500.0
2009-05-26,10559400.0
2008-03-06,6300600.0
2008-11-17,5394200.0
2008-10-16,5232700.0
2008-08-13,5240800.0
2008-06-10,3157400.0
2008-05-09,4827300.0
2009-01-20,4577200.0
2008-04-07,3874100.0
2008-12-19,3359900.0
2009-03-25,3935900.0
2009-05-29,3835800.0
2009-06-01,3995100.0
2009-02-04,5012300.0
2008-01-17,7405700.0
2008-04-22,11276900.0
2008-12-02,9764400.0
2008-10-31,6671200.0
2008-09-29,4824300.0
2008-08-28,3893000.0
2008-06-25,4127200.0
2009-04-09,3620000.0
2009-05-11,3128700.0
2008-08-11,7285600.0
2008-07-10,4182300.0
2008-02-01,4602600.0
2008-03-04,5496100.0
2009-02-19,6123300.0
2008-05-07,6212700.0
