Dates,AZN
2018-06-20,35.939998626708984
2018-06-21,34.91999816894531
2018-06-25,34.95000076293945
2018-06-22,34.81999969482422
2018-06-26,34.81999969482422
2018-06-27,34.470001220703125
2018-06-28,34.380001068115234
2018-06-29,35.11000061035156
2018-07-02,34.4900016784668
2018-07-03,34.709999084472656
2018-07-05,34.400001525878906
2018-07-16,34.83000183105469
2018-09-18,35.150001525878906
2019-01-24,35.470001220703125
2019-09-05,35.25
2018-11-21,36.2400016784668
2020-01-13,36.70000076293945
2020-04-01,36.58000183105469
2020-06-19,36.810001373291016
2019-10-29,36.970001220703125
2020-01-16,36.959999084472656
2020-06-22,36.959999084472656
2018-10-03,37.099998474121094
2018-07-31,37.150001525878906
2019-03-12,37.04999923706055
2019-02-08,37.900001525878906
2019-01-07,37.90999984741211
2018-12-06,38.310001373291016
2019-08-19,38.810001373291016
2019-07-18,38.599998474121094
2019-05-15,38.18000030517578
2019-09-20,38.36000061035156
2019-11-01,37.939998626708984
2020-04-07,38.869998931884766
2020-06-25,38.83000183105469
2020-06-16,39.4900016784668
2019-11-04,39.310001373291016
2020-01-22,38.97999954223633
2019-11-07,38.86000061035156
2020-04-13,38.16999816894531
2019-07-01,37.849998474121094
2019-05-30,38.06999969482422
2018-08-15,38.58000183105469
2018-10-18,38.720001220703125
2019-03-27,38.599998474121094
2019-01-22,38.099998474121094
2018-12-21,38.25
2019-09-03,38.31999969482422
2018-11-19,38.4900016784668
2019-08-02,38.529998779296875
2020-01-28,38.63999938964844
2020-04-16,38.150001525878906
2019-11-13,37.70000076293945
2020-01-31,37.36000061035156
2018-12-04,36.880001068115234
2018-11-02,36.939998626708984
2019-07-16,37.599998474121094
2018-08-30,37.65999984741211
2018-10-01,37.709999084472656
2019-06-14,37.279998779296875
2019-05-13,37.27000045776367
2019-04-11,37.369998931884766
2019-02-06,37.279998779296875
2019-09-18,37.2400016784668
2020-02-03,37.43000030517578
2020-04-22,37.43000030517578
2019-11-19,37.70000076293945
2020-02-06,38.380001068115234
2019-11-22,39.0099983215332
2019-03-25,39.349998474121094
2019-02-21,39.43000030517578
2018-12-19,39.470001220703125
2018-07-12,39.29999923706055
2018-09-14,39.91999816894531
2018-08-13,39.20000076293945
2018-10-16,38.880001068115234
2019-07-31,38.11000061035156
2019-05-28,37.619998931884766
2019-04-26,38.04999923706055
2020-04-28,37.40999984741211
2019-11-25,36.880001068115234
2020-02-12,37.2400016784668
2020-05-01,38.29999923706055
2020-05-04,38.810001373291016
2019-06-12,38.709999084472656
2019-04-09,39.09000015258789
2019-03-08,39.27000045776367
2019-02-04,39.029998779296875
2018-07-27,37.790000915527344
2018-08-28,36.66999816894531
2019-01-03,36.939998626708984
2019-08-15,37.709999084472656
2018-10-31,38.02000045776367
2019-09-16,38.709999084472656
2020-02-18,38.16999816894531
2020-05-07,37.630001068115234
2018-08-17,38.68000030517578
2019-12-04,37.66999816894531
2020-02-21,38.70000076293945
2018-12-17,39.93000030517578
2019-08-30,40.5
2018-11-15,40.2599983215332
2019-07-29,41.349998474121094
2019-06-27,41.279998779296875
2019-04-24,40.75
2018-07-10,39.939998626708984
2018-09-12,40.099998474121094
2019-02-19,40.27000045776367
2019-01-18,40.060001373291016
2020-02-24,39.7400016784668
2020-05-13,39.900001525878906
2019-12-10,39.25
2020-02-27,39.619998931884766
2019-12-13,39.88999938964844
2020-05-19,39.66999816894531
2019-03-06,39.43000030517578
2018-11-30,39.72999954223633
2019-08-13,38.43000030517578
2019-07-12,38.119998931884766
2019-06-10,38.130001068115234
2019-05-09,38.45000076293945
2018-07-25,38.88999938964844
2018-09-27,39.029998779296875
2018-10-29,38.90999984741211
2019-10-16,38.16999816894531
2019-12-16,38.06999969482422
2020-03-04,37.650001525878906
2020-05-22,37.86000061035156
2019-10-01,37.4900016784668
2019-12-19,36.849998474121094
2018-09-10,36.5
2019-05-24,36.4900016784668
2018-08-09,37.52000045776367
2019-04-22,37.810001373291016
2019-03-21,37.59000015258789
2019-01-16,38.310001373291016
2019-08-28,38.68000030517578
2018-11-13,38.70000076293945
2018-10-12,38.029998779296875
2019-06-25,37.79999923706055
2020-03-10,37.88999938964844
2020-05-28,36.88999938964844
2019-10-07,35.41999816894531
2020-03-13,35.72999954223633
2019-10-10,35.630001068115234
2020-03-16,35.95000076293945
2020-06-03,36.31999969482422
2018-11-28,36.0099983215332
2018-09-25,36.459999084472656
2018-07-23,35.689998626708984
2018-08-24,35.58000183105469
2019-07-10,35.29999923706055
2019-05-07,35.54999923706055
2019-04-05,35.70000076293945
2019-03-04,36.220001220703125
2019-01-31,36.540000915527344
2019-09-12,36.560001373291016
2019-12-31,36.88999938964844
2020-03-19,36.84000015258789
2020-01-03,36.779998779296875
2020-06-09,36.83000183105469
2019-02-15,36.54999923706055
2019-01-14,36.93000030517578
2018-07-06,36.560001373291016
2018-08-07,38.88999938964844
2018-10-10,40.209999084472656
2018-12-13,39.939998626708984
2019-08-26,40.2400016784668
2019-07-25,40.13999938964844
2019-05-22,40.40999984741211
2019-03-19,41.33000183105469
2020-01-06,41.560001373291016
2020-03-25,42.060001373291016
2020-06-12,41.130001068115234
2019-10-22,41.47999954223633
2020-01-09,41.38999938964844
2020-06-15,41.560001373291016
2019-10-25,41.93000030517578
2020-03-31,41.33000183105469
2020-06-18,41.34000015258789
2019-04-03,41.63999938964844
2018-08-22,41.63999938964844
2018-10-25,41.95000076293945
2019-01-29,42.119998931884766
2018-12-28,42.099998474121094
2018-11-26,42.43000030517578
2019-08-09,42.72999954223633
2019-07-08,42.790000915527344
2019-06-06,42.88999938964844
2019-09-10,42.41999816894531
2020-01-15,42.43000030517578
2020-04-03,42.86000061035156
2019-10-31,42.290000915527344
