Dates,AZN
2018-06-20,1731600.0
2018-06-21,5349000.0
2018-06-25,5372800.0
2018-06-22,2818200.0
2018-06-26,5032200.0
2018-06-27,5176100.0
2018-06-28,2941300.0
2018-06-29,3455400.0
2018-07-02,4119700.0
2018-07-03,1909600.0
2018-07-05,3715700.0
2018-07-16,2736100.0
2018-09-18,2062500.0
2019-01-24,2407800.0
2019-09-05,2717600.0
2018-11-21,8103200.0
2020-01-13,5218800.0
2020-04-01,3288200.0
2020-06-19,3201700.0
2019-10-29,3626600.0
2020-01-16,2809000.0
2020-06-22,2004700.0
2018-10-03,1739700.0
2018-07-31,1748700.0
2019-03-12,2712200.0
2019-02-08,6361300.0
2019-01-07,5824600.0
2018-12-06,5274900.0
2019-08-19,6709700.0
2019-07-18,3860500.0
2019-05-15,4556800.0
2019-09-20,4095400.0
2019-11-01,3278000.0
2020-04-07,3970000.0
2020-06-25,2863500.0
2020-06-16,6829400.0
2019-11-04,5708400.0
2020-01-22,3009200.0
2019-11-07,4422400.0
2020-04-13,6109000.0
2019-07-01,6798400.0
2019-05-30,8235400.0
2018-08-15,6166000.0
2018-10-18,4979100.0
2019-03-27,2311200.0
2019-01-22,3232800.0
2018-12-21,3087100.0
2019-09-03,3447800.0
2018-11-19,2828900.0
2019-08-02,2995400.0
2020-01-28,2822300.0
2020-04-16,3605600.0
2019-11-13,3053200.0
2020-01-31,2678300.0
2018-12-04,2252300.0
2018-11-02,2167200.0
2019-07-16,3072800.0
2018-08-30,3783800.0
2018-10-01,7607100.0
2019-06-14,5416000.0
2019-05-13,3847800.0
2019-04-11,3833900.0
2019-02-06,3625400.0
2019-09-18,2142600.0
2020-02-03,1839100.0
2020-04-22,1705200.0
2019-11-19,2143300.0
2020-02-06,6051500.0
2019-11-22,6031900.0
2019-03-25,5442400.0
2019-02-21,3611000.0
2018-12-19,2543500.0
2018-07-12,1868200.0
2018-09-14,6248900.0
2018-08-13,4986500.0
2018-10-16,3303400.0
2019-07-31,2906300.0
2019-05-28,3946400.0
2019-04-26,3227800.0
2020-04-28,6067200.0
2019-11-25,3687000.0
2020-02-12,3034700.0
2020-05-01,7622100.0
2020-05-04,4895200.0
2019-06-12,5896100.0
2019-04-09,3574900.0
2019-03-08,4488600.0
2019-02-04,4603400.0
2018-07-27,5809500.0
2018-08-28,5385300.0
2019-01-03,3960300.0
2019-08-15,7780900.0
2018-10-31,4884100.0
2019-09-16,4638500.0
2020-02-18,2853700.0
2020-05-07,3369200.0
2018-08-17,4129000.0
2019-12-04,2778700.0
2020-02-21,3950600.0
2018-12-17,5475600.0
2019-08-30,5144700.0
2018-11-15,4398100.0
2019-07-29,9200700.0
2019-06-27,5425000.0
2019-04-24,6780000.0
2018-07-10,7069200.0
2018-09-12,6167500.0
2019-02-19,4330000.0
2019-01-18,1771000.0
2020-02-24,2185400.0
2020-05-13,3674000.0
2019-12-10,5834400.0
2020-02-27,5109000.0
2019-12-13,4519000.0
2020-05-19,4478900.0
2019-03-06,6550400.0
2018-11-30,5955700.0
2019-08-13,5609400.0
2019-07-12,3825900.0
2019-06-10,6815800.0
2019-05-09,6533300.0
2018-07-25,4978200.0
2018-09-27,2060400.0
2018-10-29,4628400.0
2019-10-16,4360600.0
2019-12-16,2882100.0
2020-03-04,4191500.0
2020-05-22,4608600.0
2019-10-01,3445700.0
2019-12-19,3341300.0
2018-09-10,4502500.0
2019-05-24,6091200.0
2018-08-09,3241100.0
2019-04-22,1625600.0
2019-03-21,3594000.0
2019-01-16,5013500.0
2019-08-28,2854000.0
2018-11-13,5738700.0
2018-10-12,4697400.0
2019-06-25,6482000.0
2020-03-10,4809000.0
2020-05-28,5401000.0
2019-10-07,13875300.0
2020-03-13,10138800.0
2019-10-10,7091500.0
2020-03-16,4168300.0
2020-06-03,4366500.0
2018-11-28,7044100.0
2018-09-25,7925300.0
2018-07-23,6285400.0
2018-08-24,6896600.0
2019-07-10,3998900.0
2019-05-07,4498800.0
2019-04-05,4823500.0
2019-03-04,4978500.0
2019-01-31,3587800.0
2019-09-12,2652500.0
2019-12-31,2281600.0
2020-03-19,3083500.0
2020-01-03,3357000.0
2020-06-09,3424100.0
2019-02-15,3903900.0
2019-01-14,3729300.0
2018-07-06,4390500.0
2018-08-07,12341200.0
2018-10-10,6410200.0
2018-12-13,8070900.0
2019-08-26,7081100.0
2019-07-25,5791400.0
2019-05-22,5956300.0
2019-03-19,5982100.0
2020-01-06,4216800.0
2020-03-25,4479300.0
2020-06-12,5698500.0
2019-10-22,4590000.0
2020-01-09,3948200.0
2020-06-15,5668200.0
2019-10-25,2490000.0
2020-03-31,5283900.0
2020-06-18,4139200.0
2019-04-03,3501500.0
2018-08-22,3963400.0
2018-10-25,2973900.0
2019-01-29,3707800.0
2018-12-28,8993600.0
2018-11-26,3076200.0
2019-08-09,3209200.0
2019-07-08,3757300.0
2019-06-06,2434800.0
2019-09-10,3891200.0
2020-01-15,2971700.0
2020-04-03,3106000.0
2019-10-31,3183500.0
2020-04-06,4655900.0
2020-06-24,34782300.0
2018-11-09,8415500.0
2019-07-23,10883100.0
2019-06-21,6320000.0
2019-05-20,5580600.0
2019-04-18,5788800.0
2018-09-06,3169400.0
2018-10-08,4313100.0
2019-02-13,6619000.0
2018-12-11,4514400.0
2019-09-25,7489800.0
2020-01-21,3006100.0
2020-04-09,3334300.0
2019-11-06,4408300.0
2020-01-24,5430300.0
2020-01-27,4253500.0
2020-04-15,4812200.0
2018-12-26,3942000.0
2019-08-07,4729100.0
2019-06-04,7190400.0
2018-09-21,5518600.0
2018-07-19,8666400.0
2018-08-20,5199600.0
2018-10-23,10215000.0
2019-05-03,3217200.0
2019-04-01,3540300.0
2019-02-28,2831200.0
2019-11-12,3193500.0
2020-01-30,3578100.0
2019-11-15,8515700.0
2020-04-21,7657400.0
2019-04-16,7164800.0
2019-03-15,4570000.0
2019-02-11,2988700.0
2019-01-10,1716300.0
2019-08-22,3097000.0
2018-11-07,3438800.0
2018-08-03,2945100.0
2018-09-04,5530100.0
2019-06-19,3086600.0
2019-09-23,3807800.0
2019-11-18,3334200.0
2020-02-05,2912900.0
2020-04-24,2623000.0
2019-03-29,2409300.0
2019-11-21,3415300.0
2020-04-27,2097300.0
2020-02-11,2259500.0
2020-04-30,2070900.0
2019-05-01,2928900.0
2019-02-26,2378100.0
2019-01-25,2507300.0
2018-12-24,2020000.0
2019-09-06,1477800.0
2018-07-17,1864200.0
2018-09-19,3258500.0
2019-08-05,3027100.0
2019-10-08,3353200.0
2019-12-11,2701700.0
2019-11-27,1940000.0
2020-02-14,1382100.0
2020-05-06,1737900.0
2019-01-08,1683800.0
2018-12-07,2304800.0
2019-08-20,3032900.0
2018-11-05,2521200.0
2019-07-19,1819000.0
2018-10-04,2811700.0
2019-06-17,2090200.0
2019-05-16,1667900.0
2018-08-01,1623000.0
2019-03-13,2342500.0
2019-12-03,3229700.0
2020-02-20,2002700.0
2019-12-06,1619700.0
2020-05-12,1324400.0
2019-12-09,2783900.0
2020-02-26,3709600.0
2020-05-15,4338500.0
2019-03-28,4153100.0
2018-09-17,4281600.0
2018-08-16,10419700.0
