Dates,QRVO
2018-06-20,84.30000305175781
2018-06-21,83.83000183105469
2018-06-25,82.83000183105469
2018-06-22,81.69999694824219
2018-06-26,80.43000030517578
2018-06-27,81.80999755859375
2018-06-28,79.62000274658203
2018-06-29,80.83000183105469
2018-07-02,79.75
2018-07-03,80.19999694824219
2018-07-05,79.51000213623047
2018-07-16,81.7699966430664
2018-09-18,82.01000213623047
2019-01-24,82.30000305175781
2019-09-05,82.55999755859375
2018-11-21,80.47000122070312
2020-01-13,81.83999633789062
2020-04-01,81.72000122070312
2020-06-19,81.20999908447266
2019-10-29,82.80000305175781
2020-01-16,82.36000061035156
2020-06-22,84.30000305175781
2018-10-03,80.79000091552734
2018-07-31,83.23999786376953
2019-03-12,81.0199966430664
2019-02-08,81.22000122070312
2019-01-07,82.54000091552734
2018-12-06,81.4000015258789
2019-08-19,81.41999816894531
2019-07-18,82.66000366210938
2019-05-15,79.0
2019-09-20,84.69999694824219
2019-11-01,83.45999908447266
2020-04-07,85.20999908447266
2020-06-25,85.66999816894531
2020-06-16,85.0
2019-11-04,84.69000244140625
2020-01-22,83.0
2019-11-07,83.5199966430664
2020-04-13,82.33000183105469
2019-07-01,82.5999984741211
2019-05-30,81.56999969482422
2018-08-15,81.70999908447266
2018-10-18,78.72000122070312
2019-03-27,80.75
2019-01-22,80.26000213623047
2018-12-21,79.55999755859375
2019-09-03,79.80000305175781
2018-11-19,79.91000366210938
2019-08-02,79.93000030517578
2020-01-28,80.04000091552734
2020-04-16,79.4000015258789
2019-11-13,79.87999725341797
2020-01-31,80.41999816894531
2018-12-04,79.55000305175781
2018-11-02,74.0
2019-07-16,74.87999725341797
2018-08-30,73.5199966430664
2018-10-01,72.87999725341797
2019-06-14,74.55000305175781
2019-05-13,75.75
2019-04-11,75.37999725341797
2019-02-06,74.2699966430664
2019-09-18,75.11000061035156
2020-02-03,77.55000305175781
2020-04-22,78.9800033569336
2019-11-19,78.0199966430664
2020-02-06,78.25
2019-11-22,75.75
2019-03-25,75.12000274658203
2019-02-21,74.56999969482422
2018-12-19,77.19000244140625
2018-07-12,77.27999877929688
2018-09-14,77.37000274658203
2018-08-13,76.0999984741211
2018-10-16,75.94999694824219
2019-07-31,72.48999786376953
2019-05-28,73.0
2019-04-26,73.44999694824219
2020-04-28,70.16000366210938
2019-11-25,72.69999694824219
2020-02-12,72.01000213623047
2020-05-01,73.30999755859375
2020-05-04,75.66999816894531
2019-06-12,75.0199966430664
2019-04-09,73.58999633789062
2019-03-08,72.66999816894531
2019-02-04,71.05000305175781
2018-07-27,71.4800033569336
2018-08-28,69.08000183105469
2019-01-03,69.25
2019-08-15,70.87999725341797
2018-10-31,69.41000366210938
2019-09-16,71.51000213623047
2020-02-18,75.04000091552734
2020-05-07,77.4000015258789
2018-08-17,72.19999694824219
2019-12-04,69.5999984741211
2020-02-21,70.5199966430664
2018-12-17,69.9000015258789
2019-08-30,68.87000274658203
2018-11-15,64.8499984741211
2019-07-29,63.88999938964844
2019-06-27,64.30000305175781
2019-04-24,62.90999984741211
2018-07-10,64.41000366210938
2018-09-12,65.5
2019-02-19,61.34000015258789
2019-01-18,63.27000045776367
2020-02-24,63.2599983215332
2020-05-13,65.26000213623047
2019-12-10,64.80000305175781
2020-02-27,65.31999969482422
2019-12-13,66.55999755859375
2020-05-19,65.45999908447266
2019-03-06,67.68000030517578
2018-11-30,67.4800033569336
2019-08-13,61.849998474121094
2019-07-12,62.59000015258789
2019-06-10,60.099998474121094
2019-05-09,60.72999954223633
2018-07-25,60.79999923706055
2018-09-27,61.25
2018-10-29,60.0
2019-10-16,60.529998779296875
2019-12-16,61.150001525878906
2020-03-04,61.31999969482422
2020-05-22,59.810001373291016
2019-10-01,59.650001525878906
2019-12-19,57.11000061035156
2018-09-10,57.20000076293945
2019-05-24,59.33000183105469
2018-08-09,60.97999954223633
2019-04-22,61.34000015258789
2019-03-21,59.619998931884766
2019-01-16,57.95000076293945
2019-08-28,56.47999954223633
2018-11-13,59.380001068115234
2018-10-12,60.029998779296875
2019-06-25,59.869998931884766
2020-03-10,61.0099983215332
2020-05-28,61.70000076293945
2019-10-07,62.79999923706055
2020-03-13,61.380001068115234
2019-10-10,61.61000061035156
2020-03-16,60.88999938964844
2020-06-03,62.54999923706055
2018-11-28,62.4900016784668
2018-09-25,62.099998474121094
2018-07-23,62.27000045776367
2018-08-24,64.33999633789062
2019-07-10,64.12000274658203
2019-05-07,65.0999984741211
2019-04-05,64.55999755859375
2019-03-04,65.47000122070312
2019-01-31,65.47000122070312
2019-09-12,65.77999877929688
2019-12-31,66.0199966430664
2020-03-19,67.75
2020-01-03,67.77999877929688
2020-06-09,60.810001373291016
2019-02-15,64.48999786376953
2019-01-14,65.16999816894531
2018-07-06,65.29000091552734
2018-08-07,64.69000244140625
2018-10-10,65.30999755859375
2018-12-13,65.0
2019-08-26,65.20999908447266
2019-07-25,66.0
2019-05-22,66.61000061035156
2019-03-19,68.8499984741211
2020-01-06,68.41000366210938
2020-03-25,69.62000274658203
2020-06-12,68.87000274658203
2019-10-22,70.5999984741211
2020-01-09,70.83999633789062
2020-06-15,70.26000213623047
2019-10-25,69.8499984741211
2020-03-31,68.73999786376953
2020-06-18,67.36000061035156
2019-04-03,68.87000274658203
2018-08-22,69.38999938964844
2018-10-25,69.75
2019-01-29,69.22000122070312
2018-12-28,69.05999755859375
2018-11-26,69.62999725341797
2019-08-09,70.36000061035156
2019-07-08,70.19000244140625
2019-06-06,70.95999908447266
2019-09-10,73.5199966430664
