Dates,QRVO
2018-06-20,872700.0
2018-06-21,704000.0
2018-06-25,1599600.0
2018-06-22,984000.0
2018-06-26,858100.0
2018-06-27,670700.0
2018-06-28,597300.0
2018-06-29,981500.0
2018-07-02,710400.0
2018-07-03,938100.0
2018-07-05,2329300.0
2018-07-16,774400.0
2018-09-18,771500.0
2019-01-24,639100.0
2019-09-05,665100.0
2018-11-21,1184700.0
2020-01-13,626000.0
2020-04-01,598500.0
2020-06-19,742000.0
2019-10-29,985300.0
2020-01-16,1360000.0
2020-06-22,1618800.0
2018-10-03,1127700.0
2018-07-31,858500.0
2019-03-12,998100.0
2019-02-08,843200.0
2019-01-07,713700.0
2018-12-06,1140100.0
2019-08-19,768400.0
2019-07-18,2660400.0
2019-05-15,2535600.0
2019-09-20,846800.0
2019-11-01,942600.0
2020-04-07,1310600.0
2020-06-25,502300.0
2020-06-16,684100.0
2019-11-04,1277500.0
2020-01-22,939900.0
2019-11-07,1534700.0
2020-04-13,1933900.0
2019-07-01,1065400.0
2019-05-30,1278200.0
2018-08-15,1706600.0
2018-10-18,2007100.0
2019-03-27,787500.0
2019-01-22,977500.0
2018-12-21,702300.0
2019-09-03,1141800.0
2018-11-19,832400.0
2019-08-02,768500.0
2020-01-28,663400.0
2020-04-16,954800.0
2019-11-13,1247200.0
2020-01-31,665700.0
2018-12-04,1998500.0
2018-11-02,2422300.0
2019-07-16,708500.0
2018-08-30,1306000.0
2018-10-01,1273000.0
2019-06-14,1632500.0
2019-05-13,766500.0
2019-04-11,1090800.0
2019-02-06,997500.0
2019-09-18,1060300.0
2020-02-03,1422800.0
2020-04-22,2267900.0
2019-11-19,798600.0
2020-02-06,1153200.0
2019-11-22,914100.0
2019-03-25,876600.0
2019-02-21,1030500.0
2018-12-19,1188200.0
2018-07-12,915000.0
2018-09-14,1212400.0
2018-08-13,926800.0
2018-10-16,1466400.0
2019-07-31,865100.0
2019-05-28,1108400.0
2019-04-26,1899300.0
2020-04-28,1628400.0
2019-11-25,1118600.0
2020-02-12,695400.0
2020-05-01,1070200.0
2020-05-04,590500.0
2019-06-12,697300.0
2019-04-09,938300.0
2019-03-08,626500.0
2019-02-04,779800.0
2018-07-27,1413800.0
2018-08-28,1283200.0
2019-01-03,1380200.0
2019-08-15,1511700.0
2018-10-31,1699300.0
2019-09-16,2470300.0
2020-02-18,2720300.0
2020-05-07,2260100.0
2018-08-17,2554900.0
2019-12-04,1182700.0
2020-02-21,1266200.0
2018-12-17,1246700.0
2019-08-30,2442300.0
2018-11-15,2912500.0
2019-07-29,3719800.0
2019-06-27,3144700.0
2019-04-24,1578700.0
2018-07-10,1582900.0
2018-09-12,1901700.0
2019-02-19,2354500.0
2019-01-18,1792400.0
2020-02-24,464400.0
2020-05-13,1092900.0
2019-12-10,768400.0
2020-02-27,1146500.0
2019-12-13,906000.0
2020-05-19,1711200.0
2019-03-06,1440100.0
2018-11-30,1589600.0
2019-08-13,2309800.0
2019-07-12,1104700.0
2019-06-10,1600000.0
2019-05-09,1245200.0
2018-07-25,1219700.0
2018-09-27,1065000.0
2018-10-29,1650700.0
2019-10-16,1154400.0
2019-12-16,1028100.0
2020-03-04,1165200.0
2020-05-22,1863700.0
2019-10-01,2590500.0
2019-12-19,643300.0
2018-09-10,865800.0
2019-05-24,991600.0
2018-08-09,1108100.0
2019-04-22,809100.0
2019-03-21,725500.0
2019-01-16,2864300.0
2019-08-28,1976700.0
2018-11-13,1093600.0
2018-10-12,1505200.0
2019-06-25,1986300.0
2020-03-10,3203000.0
2020-05-28,1506400.0
2019-10-07,1259500.0
2020-03-13,641800.0
2019-10-10,735700.0
2020-03-16,998800.0
2020-06-03,888200.0
2018-11-28,737900.0
2018-09-25,796500.0
2018-07-23,955800.0
2018-08-24,1463900.0
2019-07-10,921700.0
2019-05-07,1217600.0
2019-04-05,636200.0
2019-03-04,992200.0
2019-01-31,589400.0
2019-09-12,891500.0
2019-12-31,840600.0
2020-03-19,2133600.0
2020-01-03,1868400.0
2020-06-09,3754400.0
2019-02-15,1174900.0
2019-01-14,1595400.0
2018-07-06,1429300.0
2018-08-07,1671200.0
2018-10-10,1532900.0
2018-12-13,1666200.0
2019-08-26,1730000.0
2019-07-25,1377400.0
2019-05-22,1470100.0
2019-03-19,1781500.0
2020-01-06,1282300.0
2020-03-25,1120100.0
2020-06-12,1199900.0
2019-10-22,1182400.0
2020-01-09,930300.0
2020-06-15,1010500.0
2019-10-25,1067200.0
2020-03-31,1107600.0
2020-06-18,1012000.0
2019-04-03,939400.0
2018-08-22,690500.0
2018-10-25,1141800.0
2019-01-29,861700.0
2018-12-28,1440300.0
2018-11-26,905300.0
2019-08-09,847100.0
2019-07-08,1001500.0
2019-06-06,2571400.0
2019-09-10,1050200.0
2020-01-15,699300.0
2020-04-03,796400.0
2019-10-31,823600.0
2020-04-06,484800.0
2020-06-24,940000.0
2018-11-09,928300.0
2019-07-23,1149100.0
2019-06-21,1177900.0
2019-05-20,1032600.0
2019-04-18,623700.0
2018-09-06,665500.0
2018-10-08,819400.0
2019-02-13,1309600.0
2018-12-11,1352000.0
2019-09-25,986900.0
2020-01-21,672700.0
2020-04-09,2131300.0
2019-11-06,1329000.0
2020-01-24,934500.0
2020-01-27,1185400.0
2020-04-15,1651000.0
2018-12-26,1316200.0
2019-08-07,1063200.0
2019-06-04,2006300.0
2018-09-21,1237000.0
2018-07-19,1424400.0
2018-08-20,1743400.0
2018-10-23,1198400.0
2019-05-03,1472700.0
2019-04-01,1128500.0
2019-02-28,2142800.0
2019-11-12,4752600.0
2020-01-30,2571300.0
2019-11-15,1897200.0
2020-04-21,1923400.0
2019-04-16,1037300.0
2019-03-15,989200.0
2019-02-11,3384200.0
2019-01-10,3317300.0
2019-08-22,3119300.0
2018-11-07,4127100.0
2018-08-03,2531700.0
2018-09-04,2774500.0
2019-06-19,3575700.0
2019-09-23,1842500.0
2019-11-18,1566000.0
2020-02-05,1261100.0
2020-04-24,1284500.0
2019-03-29,1619100.0
2019-11-21,1643400.0
2020-04-27,1207400.0
2020-02-11,1022100.0
2020-04-30,1053600.0
2019-05-01,1886400.0
2019-02-26,1891400.0
2019-01-25,1317700.0
2018-12-24,776800.0
2019-09-06,1273300.0
2018-07-17,741200.0
2018-09-19,1380700.0
2019-08-05,923200.0
2019-10-08,1472100.0
2019-12-11,2202800.0
2019-11-27,1198100.0
2020-02-14,923400.0
2020-05-06,1142100.0
2019-01-08,1260900.0
2018-12-07,1240200.0
2019-08-20,3079200.0
2018-11-05,1168000.0
2019-07-19,888200.0
2018-10-04,626500.0
2019-06-17,786100.0
2019-05-16,812300.0
2018-08-01,942900.0
2019-03-13,612100.0
2019-12-03,839500.0
2020-02-20,1367900.0
2019-12-06,1502100.0
2020-05-12,1042700.0
2019-12-09,1389100.0
2020-02-26,1030500.0
2020-05-15,972300.0
2019-03-28,738100.0
2018-09-17,1360100.0
2018-08-16,877100.0
2018-10-19,859500.0
2019-04-29,911700.0
2019-01-23,844000.0
2019-09-04,1722800.0
2018-11-20,2818900.0
2019-07-02,2646400.0
2019-05-31,1722700.0
2019-12-12,1599000.0
2020-05-18,1354600.0
2019-09-27,1542800.0
2020-03-03,1458900.0
2020-05-21,1004300.0
2019-05-14,1127400.0
2018-08-31,1042500.0
2018-07-30,1089500.0
2018-10-02,1135700.0
2019-04-12,1359900.0
2019-03-11,995700.0
2019-02-07,1077300.0
2019-07-17,1356600.0
2019-09-19,1933300.0
2019-10-21,868000.0
2019-12-18,1030400.0
2020-03-06,1707200.0
2019-10-03,1367900.0
2020-03-09,1306100.0
2020-05-27,1043200.0
2019-12-24,688600.0
2020-03-12,1110600.0
2018-12-20,856200.0
2019-08-01,1122100.0
2018-08-14,1398600.0
2018-07-13,1429200.0
2018-10-17,1212400.0
2019-05-29,1006400.0
2019-03-26,842600.0
2019-02-22,1321300.0
2019-10-04,1207000.0
2019-11-05,870000.0
2019-12-27,2006900.0
2020-06-02,968600.0
2019-12-30,912200.0
2020-03-18,786900.0
2020-06-05,990000.0
2019-07-15,1039000.0
2018-12-03,735500.0
2019-06-13,825700.0
2019-01-04,784900.0
2018-08-29,1010000.0
2019-02-05,998300.0
2018-11-01,1239500.0
2019-08-16,1231200.0
2019-04-10,639100.0
2019-09-17,1870200.0
2019-10-15,1659600.0
2020-01-02,568700.0
2020-06-08,1307300.0
2019-10-18,986700.0
2020-03-24,1225500.0
2020-06-11,835500.0
2020-01-08,892300.0
2019-04-25,741900.0
2019-07-30,758800.0
2019-02-20,675600.0
2018-07-11,729500.0
2018-09-13,813400.0
2018-10-15,703500.0
2019-06-28,1293200.0
2018-12-18,2917200.0
2018-11-16,8885300.0
2019-10-02,4365900.0
2020-03-27,3134100.0
2020-01-10,3153300.0
2019-10-24,2482500.0
2020-03-30,2867000.0
2020-06-17,2181500.0
2020-01-14,1938600.0
