Dates,QRVO
2018-06-20,83.19000244140625
2018-06-21,82.08999633789062
2018-06-25,81.45999908447266
2018-06-22,79.41100311279297
2018-06-26,79.86000061035156
2018-06-27,79.87999725341797
2018-06-28,79.30999755859375
2018-06-29,80.0999984741211
2018-07-02,78.76000213623047
2018-07-03,77.0
2018-07-05,78.60600280761719
2018-07-16,80.05999755859375
2018-09-18,81.12999725341797
2019-01-24,82.05000305175781
2019-09-05,80.19999694824219
2018-11-21,80.05000305175781
2020-01-13,81.16999816894531
2020-04-01,81.20999908447266
2020-06-19,80.76000213623047
2019-10-29,82.12999725341797
2020-01-16,82.27999877929688
2020-06-22,81.05999755859375
2018-10-03,79.69000244140625
2018-07-31,81.0
2019-03-12,79.5999984741211
2019-02-08,80.75499725341797
2019-01-07,80.875
2018-12-06,79.94999694824219
2019-08-19,80.62999725341797
2019-07-18,81.37000274658203
2019-05-15,79.0
2019-09-20,83.51000213623047
2019-11-01,82.58999633789062
2020-04-07,84.77100372314453
2020-06-25,85.37999725341797
2020-06-16,84.5
2019-11-04,82.68000030517578
2020-01-22,82.69999694824219
2019-11-07,82.21499633789062
2020-04-13,81.11000061035156
2019-07-01,81.44999694824219
2019-05-30,80.73999786376953
2018-08-15,78.12000274658203
2018-10-18,78.62000274658203
2019-03-27,79.97000122070312
2019-01-22,78.97000122070312
2018-12-21,79.16000366210938
2019-09-03,79.41000366210938
2018-11-19,79.01000213623047
2019-08-02,79.29499816894531
2020-01-28,79.20999908447266
2020-04-16,79.4000015258789
2019-11-13,79.5199966430664
2020-01-31,79.37000274658203
2018-12-04,75.08999633789062
2018-11-02,73.5199966430664
2019-07-16,73.5199966430664
2018-08-30,72.30999755859375
2018-10-01,71.53700256347656
2019-06-14,73.66999816894531
2019-05-13,75.29000091552734
2019-04-11,73.79000091552734
2019-02-06,74.0999984741211
2019-09-18,75.11000061035156
2020-02-03,77.2699966430664
2020-04-22,78.12000274658203
2019-11-19,76.81999969482422
2020-02-06,75.31999969482422
2019-11-22,74.62999725341797
2019-03-25,74.5999984741211
2019-02-21,74.06999969482422
2018-12-19,76.66000366210938
2018-07-12,77.24299621582031
2018-09-14,75.05999755859375
2018-08-13,75.33000183105469
2018-10-16,72.05000305175781
2019-07-31,71.29000091552734
2019-05-28,72.66999816894531
2019-04-26,70.13999938964844
2020-04-28,70.05999755859375
2019-11-25,71.55000305175781
2020-02-12,71.80999755859375
2020-05-01,73.05000305175781
2020-05-04,74.7699966430664
2019-06-12,73.1500015258789
2019-04-09,72.13999938964844
2019-03-08,71.80999755859375
2019-02-04,69.63999938964844
2018-07-27,68.0
2018-08-28,69.08000183105469
2019-01-03,69.16000366210938
2019-08-15,68.30000305175781
2018-10-31,68.93000030517578
2019-09-16,70.6449966430664
2020-02-18,74.33000183105469
2020-05-07,73.69999694824219
2018-08-17,66.79000091552734
2019-12-04,69.30000305175781
2020-02-21,68.72000122070312
2018-12-17,69.36000061035156
2019-08-30,66.19999694824219
2018-11-15,62.38999938964844
2019-07-29,61.0
2019-06-27,61.72999954223633
2019-04-24,62.7400016784668
2018-07-10,64.22699737548828
2018-09-12,63.060001373291016
2019-02-19,61.29999923706055
2019-01-18,62.650001525878906
2020-02-24,63.2599983215332
2020-05-13,64.61299896240234
2019-12-10,64.76000213623047
2020-02-27,64.62000274658203
2019-12-13,65.19999694824219
2020-05-19,64.83999633789062
2019-03-06,67.20999908447266
2018-11-30,64.04000091552734
2019-08-13,60.790000915527344
2019-07-12,60.90999984741211
2019-06-10,58.90999984741211
2019-05-09,59.20000076293945
2018-07-25,59.83000183105469
2018-09-27,60.369998931884766
2018-10-29,59.83000183105469
2019-10-16,59.68000030517578
2019-12-16,60.970001220703125
2020-03-04,59.33000183105469
2020-05-22,58.529998779296875
2019-10-01,57.11000061035156
2019-12-19,56.459999084472656
2018-09-10,56.33000183105469
2019-05-24,58.2400016784668
2018-08-09,59.959999084472656
2019-04-22,59.84000015258789
2019-03-21,59.619998931884766
2019-01-16,54.73500061035156
2019-08-28,56.310001373291016
2018-11-13,58.84000015258789
2018-10-12,58.900001525878906
2019-06-25,59.4900016784668
2020-03-10,60.119998931884766
2020-05-28,61.47999954223633
2019-10-07,61.04999923706055
2020-03-13,61.15999984741211
2019-10-10,61.36000061035156
2020-03-16,60.0
