Dates,PEP
2018-06-20,106.11000061035156
2018-06-21,107.43000030517578
2018-06-25,108.66999816894531
2018-06-22,109.58999633789062
2018-06-26,109.16999816894531
2018-06-27,108.95999908447266
2018-06-28,109.30000305175781
2018-06-29,109.5
2018-07-02,110.0
2018-07-03,109.56999969482422
2018-07-05,109.62000274658203
2018-07-16,110.0199966430664
2018-09-18,109.30000305175781
2019-01-24,113.0
2019-09-05,112.94000244140625
2018-11-21,112.70999908447266
2020-01-13,112.79000091552734
2020-04-01,113.12000274658203
2020-06-19,115.02999877929688
2019-10-29,115.0
2020-01-16,116.58999633789062
2020-06-22,116.79000091552734
2018-10-03,115.9800033569336
2018-07-31,114.91999816894531
2019-03-12,115.66999816894531
2019-02-08,116.9000015258789
2019-01-07,115.3499984741211
2018-12-06,114.58999633789062
2019-08-19,115.48999786376953
2019-07-18,114.52999877929688
2019-05-15,114.93000030517578
2019-09-20,116.69999694824219
2019-11-01,118.44000244140625
2020-04-07,116.44999694824219
2020-06-25,114.8499984741211
2020-06-16,114.12000274658203
2019-11-04,113.97000122070312
2020-01-22,113.13999938964844
2019-11-07,113.48999786376953
2020-04-13,113.73999786376953
2019-07-01,114.7300033569336
2019-05-30,115.08999633789062
2018-08-15,115.8499984741211
2018-10-18,115.25
2019-03-27,113.81999969482422
2019-01-22,112.2300033569336
2018-12-21,112.52999877929688
2019-09-03,112.7699966430664
2018-11-19,112.44999694824219
2019-08-02,112.12000274658203
2020-01-28,112.2300033569336
2020-04-16,112.58000183105469
2019-11-13,112.08999633789062
2020-01-31,113.16999816894531
2018-12-04,113.52999877929688
2018-11-02,113.5
2019-07-16,113.98999786376953
2018-08-30,113.75
2018-10-01,114.2300033569336
2019-06-14,115.01000213623047
2019-05-13,114.88999938964844
2019-04-11,115.44999694824219
2019-02-06,115.4800033569336
2019-09-18,114.23999786376953
2020-02-03,115.51000213623047
2020-04-22,115.5199966430664
2019-11-19,114.72000122070312
2020-02-06,112.75
2019-11-22,112.86000061035156
2019-03-25,112.4000015258789
2019-02-21,112.05000305175781
2018-12-19,112.4800033569336
2018-07-12,111.11000061035156
2018-09-14,109.70999908447266
2018-08-13,107.4000015258789
2018-10-16,107.01000213623047
2019-07-31,108.33999633789062
2019-05-28,108.94000244140625
2019-04-26,109.3499984741211
2020-04-28,108.4800033569336
2019-11-25,105.76000213623047
2020-02-12,106.6500015258789
2020-05-01,107.69000244140625
2020-05-04,108.77999877929688
2019-06-12,109.3499984741211
2019-04-09,110.5999984741211
2019-03-08,110.88999938964844
2019-02-04,110.52999877929688
2018-07-27,114.16000366210938
2018-08-28,113.2699966430664
2019-01-03,112.05999755859375
2019-08-15,113.30999755859375
2018-10-31,114.2300033569336
2019-09-16,113.48999786376953
2020-02-18,113.13999938964844
2020-05-07,112.0999984741211
2018-08-17,114.44000244140625
2019-12-04,115.3499984741211
2020-02-21,115.7699966430664
2018-12-17,116.5
2019-08-30,117.70999908447266
2018-11-15,118.31999969482422
2019-07-29,117.75
2019-06-27,117.4800033569336
2019-04-24,116.98999786376953
2018-07-10,118.4800033569336
2018-09-12,119.5199966430664
2019-02-19,120.27999877929688
2019-01-18,116.88999938964844
2020-02-24,116.56999969482422
2020-05-13,116.43000030517578
2019-12-10,116.52999877929688
2020-02-27,118.5199966430664
2019-12-13,118.87000274658203
2020-05-19,122.0
2019-03-06,120.91000366210938
2018-11-30,120.61000061035156
2019-08-13,117.37999725341797
2019-07-12,116.9800033569336
2019-06-10,116.62000274658203
2019-05-09,118.19000244140625
2018-07-25,118.58999633789062
2018-09-27,118.88999938964844
2018-10-29,117.55000305175781
2019-10-16,115.06999969482422
2019-12-16,113.52999877929688
2020-03-04,113.19000244140625
2020-05-22,111.93000030517578
2019-10-01,114.16000366210938
2019-12-19,111.08999633789062
2018-09-10,108.44000244140625
2019-05-24,109.47000122070312
2018-08-09,111.0999984741211
2019-04-22,111.08999633789062
2019-03-21,110.0199966430664
2019-01-16,110.1500015258789
2019-08-28,110.5999984741211
2018-11-13,110.37999725341797
2018-10-12,110.80000305175781
2019-06-25,110.87000274658203
2020-03-10,108.33999633789062
2020-05-28,108.5
2019-10-07,107.95999908447266
2020-03-13,109.06999969482422
2019-10-10,109.05000305175781
2020-03-16,109.47000122070312
2020-06-03,110.30000305175781
2018-11-28,110.2300033569336
2018-09-25,110.79000091552734
2018-07-23,110.30999755859375
2018-08-24,110.58999633789062
2019-07-10,109.5999984741211
2019-05-07,109.62000274658203
2019-04-05,111.23999786376953
2019-03-04,112.9000015258789
2019-01-31,113.27999877929688
2019-09-12,113.4000015258789
