Dates,PEP
2018-06-20,4601400.0
2018-06-21,6550700.0
2018-06-25,5709400.0
2018-06-22,5183000.0
2018-06-26,5034100.0
2018-06-27,6229200.0
2018-06-28,4297400.0
2018-06-29,4721400.0
2018-07-02,4711900.0
2018-07-03,3769100.0
2018-07-05,4870400.0
2018-07-16,4387300.0
2018-09-18,7866400.0
2019-01-24,16107200.0
2019-09-05,5521400.0
2018-11-21,5500100.0
2020-01-13,4417100.0
2020-04-01,5413600.0
2020-06-19,6783800.0
2019-10-29,5379000.0
2020-01-16,9241300.0
2020-06-22,27559700.0
2018-10-03,7769300.0
2018-07-31,5095100.0
2019-03-12,4762300.0
2019-02-08,5096300.0
2019-01-07,4563700.0
2018-12-06,3621800.0
2019-08-19,4892100.0
2019-07-18,4169000.0
2019-05-15,4167200.0
2019-09-20,3934500.0
2019-11-01,6704800.0
2020-04-07,6919600.0
2020-06-25,5172900.0
2020-06-16,4115400.0
2019-11-04,3711900.0
2020-01-22,3170100.0
2019-11-07,3836700.0
2020-04-13,6513300.0
2019-07-01,4504600.0
2019-05-30,3391600.0
2018-08-15,3676000.0
2018-10-18,4667700.0
2019-03-27,3860900.0
2019-01-22,4508800.0
2018-12-21,3677700.0
2019-09-03,3155700.0
2018-11-19,5229400.0
2019-08-02,2403200.0
2020-01-28,2119100.0
2020-04-16,4248800.0
2019-11-13,4576300.0
2020-01-31,4392100.0
2018-12-04,4808300.0
2018-11-02,3833800.0
2019-07-16,3289700.0
2018-08-30,2807300.0
2018-10-01,3651400.0
2019-06-14,3808100.0
2019-05-13,2698300.0
2019-04-11,3092600.0
2019-02-06,4081200.0
2019-09-18,2844900.0
2020-02-03,3375900.0
2020-04-22,6989500.0
2019-11-19,3387400.0
2020-02-06,3538700.0
2019-11-22,4053500.0
2019-03-25,3841500.0
2019-02-21,5945300.0
2018-12-19,5064700.0
2018-07-12,6702200.0
2018-09-14,6107500.0
2018-08-13,4930300.0
2018-10-16,3438100.0
2019-07-31,3994100.0
2019-05-28,4105600.0
2019-04-26,5796200.0
2020-04-28,5755100.0
2019-11-25,4543000.0
2020-02-12,3805700.0
2020-05-01,4061600.0
2020-05-04,4495900.0
2019-06-12,4093700.0
2019-04-09,5109000.0
2019-03-08,5477700.0
2019-02-04,4484100.0
2018-07-27,8222900.0
2018-08-28,6712900.0
2019-01-03,5872800.0
2019-08-15,5706000.0
2018-10-31,4900400.0
2019-09-16,6449500.0
2020-02-18,5736700.0
2020-05-07,6705700.0
2018-08-17,5270400.0
2019-12-04,3913400.0
2020-02-21,4219600.0
2018-12-17,2925100.0
2019-08-30,5026300.0
2018-11-15,4781900.0
2019-07-29,3609900.0
2019-06-27,4423800.0
2019-04-24,4045700.0
2018-07-10,4484300.0
2018-09-12,4673900.0
2019-02-19,5087800.0
2019-01-18,3245000.0
2020-02-24,1444700.0
2020-05-13,2972500.0
2019-12-10,2884700.0
2020-02-27,3989400.0
2019-12-13,2878700.0
2020-05-19,8051100.0
2019-03-06,6112600.0
2018-11-30,7018200.0
2019-08-13,5191700.0
2019-07-12,4615500.0
2019-06-10,4150600.0
2019-05-09,5545100.0
2018-07-25,4889700.0
2018-09-27,6181200.0
2018-10-29,7404200.0
2019-10-16,6015300.0
2019-12-16,5846200.0
2020-03-04,6915400.0
2020-05-22,8468300.0
2019-10-01,13263600.0
2019-12-19,3354000.0
2018-09-10,4537000.0
2019-05-24,5175900.0
2018-08-09,5410300.0
2019-04-22,5019100.0
2019-03-21,4835400.0
2019-01-16,5975900.0
2019-08-28,6293900.0
2018-11-13,5220300.0
2018-10-12,6407700.0
2019-06-25,8521300.0
2020-03-10,7905000.0
2020-05-28,5939000.0
2019-10-07,5804600.0
2020-03-13,4508000.0
2019-10-10,4953500.0
2020-03-16,4612200.0
2020-06-03,5142700.0
2018-11-28,5298200.0
2018-09-25,5197400.0
2018-07-23,4478000.0
2018-08-24,5074800.0
2019-07-10,4055900.0
2019-05-07,4301500.0
2019-04-05,5023800.0
2019-03-04,6183400.0
2019-01-31,5010500.0
2019-09-12,3665000.0
2019-12-31,4593400.0
2020-03-19,4209400.0
2020-01-03,4227700.0
2020-06-09,3868300.0
2019-02-15,4851100.0
2019-01-14,6765300.0
2018-07-06,5528000.0
2018-08-07,6359200.0
2018-10-10,8889500.0
2018-12-13,5596100.0
2019-08-26,6038900.0
2019-07-25,4825900.0
2019-05-22,4865400.0
2019-03-19,3755900.0
2020-01-06,4074600.0
2020-03-25,4175100.0
2020-06-12,5586300.0
2019-10-22,3629100.0
2020-01-09,4383100.0
2020-06-15,3785400.0
2019-10-25,4770700.0
2020-03-31,4858300.0
2020-06-18,5003300.0
2019-04-03,4821600.0
2018-08-22,4356400.0
2018-10-25,5968600.0
2019-01-29,8986600.0
2018-12-28,18194200.0
2018-11-26,9476000.0
2019-08-09,6751700.0
2019-07-08,5733500.0
2019-06-06,4305600.0
2019-09-10,6668100.0
2020-01-15,4275400.0
2020-04-03,4583000.0
2019-10-31,5318500.0
2020-04-06,3694700.0
2020-06-24,5758800.0
2018-11-09,5025700.0
2019-07-23,3242600.0
2019-06-21,4534400.0
2019-05-20,3022500.0
2019-04-18,3971500.0
2018-09-06,3140100.0
2018-10-08,3864400.0
2019-02-13,2681100.0
2018-12-11,3399700.0
