Dates,PEP
2018-06-20,99.66345977783203
2018-06-21,101.01040649414062
2018-06-25,102.07476043701172
2018-06-22,102.65873718261719
2018-06-26,101.77334594726562
2018-06-27,101.98055267333984
2018-06-28,102.36674499511719
2018-06-29,102.54570770263672
2018-07-02,103.1673583984375
2018-07-03,102.47978210449219
2018-07-05,103.18621063232422
2018-07-16,103.19563293457031
2018-09-18,101.50019836425781
2019-01-24,106.33219146728516
2019-09-05,106.00251770019531
2018-11-21,105.05119323730469
2020-01-13,106.14379119873047
2020-04-01,106.39812469482422
2020-06-19,108.20658874511719
2019-10-29,108.15949249267578
2020-01-16,109.04487609863281
2020-06-22,109.27094268798828
2018-10-03,107.74505615234375
2018-07-31,108.07472229003906
2019-03-12,108.51741790771484
2019-02-08,108.31961822509766
2019-01-07,107.64144897460938
2018-12-06,107.54724884033203
2019-08-19,108.31961822509766
2019-07-18,107.0103530883789
2019-05-15,108.02763366699219
2019-09-20,109.54409790039062
2019-11-01,110.56137084960938
2020-04-07,107.58493041992188
2020-06-25,106.89733123779297
2020-06-16,107.09513092041016
2019-11-04,106.3133544921875
2020-01-22,106.45463562011719
2019-11-07,106.52998352050781
2020-04-13,106.85965728759766
2019-07-01,107.6131820678711
2019-05-30,108.28194427490234
2018-08-15,108.16890716552734
2018-10-18,107.11397552490234
2019-03-27,105.7199478149414
2019-01-22,105.4279556274414
2018-12-21,105.63518524169922
2019-09-03,105.88006591796875
2018-11-19,104.71209716796875
2019-08-02,105.54098510742188
2020-01-28,105.45620727539062
2020-04-16,105.50331115722656
2019-11-13,104.5519790649414
2020-01-31,106.548828125
2018-12-04,107.7910385131836
2018-11-02,107.06925964355469
2019-07-16,107.8575210571289
2018-08-30,107.62957763671875
2018-10-01,108.12342834472656
2019-06-14,109.2060775756836
2019-05-13,108.80721282958984
2019-04-11,109.59547424316406
2019-02-06,108.24689483642578
2019-09-18,108.04744720458984
2020-02-03,109.42452239990234
2020-04-22,109.13011932373047
2019-11-19,106.62288665771484
2020-02-06,106.3379898071289
2019-11-22,105.89163970947266
2019-03-25,105.46427154541016
2019-02-21,106.17655181884766
2018-12-19,105.14137268066406
2018-07-12,103.25147247314453
2018-09-14,102.11181640625
2018-08-13,101.24759674072266
2018-10-16,101.13362884521484
2019-07-31,102.74813079833984
2019-05-28,102.68164825439453
2019-04-26,101.94087982177734
2020-04-28,99.77555084228516
2019-11-25,99.9844970703125
2020-02-12,100.31687927246094
2020-05-01,101.98836517333984
2020-05-04,102.86209106445312
2019-06-12,102.5011978149414
2019-04-09,104.74250030517578
2019-03-08,103.89726257324219
2019-02-04,104.59054565429688
2018-07-27,107.27820587158203
2018-08-28,107.17372131347656
2019-01-03,104.89444732666016
2019-08-15,107.21171569824219
2018-10-31,108.04744720458984
2019-09-16,106.72737121582031
2020-02-18,105.9011459350586
2020-05-07,105.5782241821289
2018-08-17,108.63627624511719
2019-12-04,109.4150161743164
2020-02-21,109.7948989868164
2018-12-17,110.2222671508789
2019-08-30,111.57083892822266
2018-11-15,111.08650207519531
2019-07-29,111.24794006347656
2019-06-27,110.78258514404297
2019-04-24,110.92505645751953
2018-07-10,112.39708709716797
2018-09-12,113.02388763427734
2019-02-19,110.16529846191406
2019-01-18,109.48149108886719
2020-02-24,109.60496520996094
2020-05-13,110.0323257446289
2019-12-10,110.5831527709961
2020-02-27,112.53953552246094
2019-12-13,112.32111358642578
2020-05-19,115.80651092529297
2019-03-06,112.99539947509766
2018-11-30,111.874755859375
2019-08-13,111.84412384033203
2019-07-12,110.86773681640625
2019-06-10,111.22191619873047
2019-05-09,112.27487182617188
2018-07-25,111.99728393554688
2018-09-27,113.28955841064453
2018-10-29,109.07769012451172
2019-10-16,108.04386901855469
2019-12-16,107.05790710449219
2020-03-04,105.33487701416016
2020-05-22,105.49759674072266
2019-10-01,104.74137878417969
2019-12-19,101.496337890625
2018-09-10,103.697998046875
2019-05-24,104.74137878417969
2018-08-09,105.64118194580078
2019-04-22,105.75605773925781
2019-03-21,104.60737609863281
2019-01-16,103.63098907470703
2019-08-28,105.75605773925781
2018-11-13,104.8466796875
2018-10-12,105.85179138183594
2019-06-25,102.89391326904297
2020-03-10,103.52569580078125
2020-05-28,103.53526306152344
2019-10-07,102.73118591308594
2020-03-13,104.32976531982422
2019-10-10,103.70756530761719
2020-03-16,104.54993438720703
2020-06-03,105.36359405517578
2018-11-28,105.21044158935547
2018-09-25,105.99537658691406
2018-07-23,104.8179702758789
2018-08-24,104.67437744140625
2019-07-10,104.16704559326172
2019-05-07,104.33934020996094
2019-04-05,106.08152770996094
2019-03-04,107.85242462158203
2019-01-31,107.3929443359375
2019-09-12,108.25447082519531
2019-12-31,108.07258605957031
2020-03-19,108.21617889404297
2020-01-03,108.25447082519531
2020-06-09,108.18744659423828
2019-02-15,108.13958740234375
2019-01-14,108.92453002929688
2018-07-06,109.24041748046875
2018-08-07,107.77583312988281
2018-10-10,110.95388793945312
2018-12-13,110.97303009033203
2019-08-26,110.87731170654297
2019-07-25,111.13575744628906
2019-05-22,111.76753997802734
2019-03-19,111.09747314453125
2020-01-06,111.01132202148438
2020-03-25,110.43698120117188
2020-06-12,111.59304809570312
2019-10-22,112.11415100097656
2020-01-09,112.10449981689453
2020-06-15,111.96939849853516
2019-10-25,112.57734680175781
2020-03-31,112.03694915771484
2020-06-18,111.1974105834961
2019-04-03,112.50979614257812
2018-08-22,112.4905014038086
2018-10-25,112.50016021728516
2019-01-29,111.45795440673828
2018-12-28,111.61235809326172
2018-11-26,113.16600036621094
2019-08-09,113.9572982788086
2019-07-08,114.17926025390625
2019-06-06,115.26006317138672
2019-09-10,116.49527740478516
2020-01-15,116.62071228027344
2020-04-03,117.74977111816406
2019-10-31,117.62432098388672
2020-04-06,117.5760726928711
2020-06-24,118.26123046875
2018-11-09,117.73047637939453
2019-07-23,117.42166900634766
2019-06-21,117.30587005615234
2019-05-20,117.2190170288086
2019-04-18,117.36376953125
2018-09-06,117.73047637939453
2018-10-08,117.89453125
2019-02-13,117.76907348632812
2018-12-11,117.41202545166016
2019-09-25,117.95242309570312
2020-01-21,119.33238220214844
2020-04-09,118.12612915039062
