Dates,CTXS
2018-06-20,106.19822692871094
2018-06-21,104.70288848876953
2018-06-25,103.1196060180664
2018-06-22,102.09339141845703
2018-06-26,102.30840301513672
2018-06-27,100.27552795410156
2018-06-28,101.81973266601562
2018-06-29,102.46476745605469
2018-07-02,104.30218505859375
2018-07-03,103.92103576660156
2018-07-05,103.4323501586914
2018-07-16,104.15558624267578
2018-09-18,104.66380310058594
2019-01-24,104.44879150390625
2019-09-05,104.73220825195312
2018-11-21,107.36126708984375
2020-01-13,107.28308868408203
2020-04-01,107.47856140136719
2020-06-19,107.6153793334961
2019-10-29,108.22134399414062
2020-01-16,107.20490264892578
2020-06-22,105.7779769897461
2018-10-03,105.57272338867188
2018-07-31,105.1622543334961
2019-03-12,106.76509094238281
2019-02-08,110.4496841430664
2019-01-07,109.51142883300781
2018-12-06,108.04542541503906
2019-08-19,107.47856140136719
2019-07-18,107.47856140136719
2019-05-15,107.34172058105469
2019-09-20,107.44923400878906
2019-11-01,108.60250091552734
2020-04-07,108.67091369628906
2020-06-25,108.89570617675781
2020-06-16,108.66114044189453
2019-11-04,108.91525268554688
2020-01-22,108.45590209960938
2019-11-07,109.17913818359375
2020-04-13,108.87615203857422
2019-07-01,108.7979736328125
2019-05-30,108.34839630126953
2018-08-15,108.69046020507812
2018-10-18,108.8175048828125
2019-03-27,109.59939575195312
2019-01-22,109.4136962890625
2018-12-21,110.41057586669922
2019-09-03,110.48877716064453
2018-11-19,110.75265502929688
2019-08-02,111.8277359008789
2020-01-28,111.54430389404297
2020-04-16,111.43679809570312
2019-11-13,110.85038757324219
2020-01-31,109.83395385742188
2018-12-04,109.74598693847656
2018-11-02,108.44612884521484
2019-07-16,108.27998352050781
2018-08-30,108.72955322265625
2018-10-01,109.58961486816406
2019-06-14,109.55052185058594
2019-05-13,109.77531433105469
2019-04-11,108.2311019897461
2019-02-06,108.338623046875
2019-09-18,108.39726257324219
2020-02-03,107.93790435791016
2020-04-22,107.8597183227539
2019-11-19,107.20490264892578
2020-02-06,108.75887298583984
2019-11-22,108.48522186279297
2019-03-25,108.3777084350586
2019-02-21,108.6416015625
2018-12-19,108.60250091552734
2018-07-12,108.07472229003906
2018-09-14,107.92813110351562
2018-08-13,106.0223159790039
2018-10-16,105.44567108154297
2019-07-31,104.39991760253906
2019-05-28,104.0480728149414
2019-04-26,101.93701171875
2020-04-28,99.796630859375
2019-11-25,100.20709991455078
2020-02-12,99.60116577148438
2020-05-01,101.78063201904297
2020-05-04,102.73844146728516
2019-06-12,101.07695007324219
2019-04-09,98.4185791015625
2019-03-08,100.0898208618164
2019-02-04,99.88458251953125
2018-07-27,97.66602325439453
2018-08-28,99.73799133300781
2019-01-03,98.33061981201172
2019-08-15,99.01473999023438
2018-10-31,99.24931335449219
2019-09-16,100.14847564697266
2020-02-18,100.82283782958984
2020-05-07,100.4319076538086
2018-08-17,101.07695007324219
2019-12-04,102.01520538330078
2020-02-21,103.62782287597656
2018-12-17,104.63448333740234
2019-08-30,104.58561706542969
2018-11-15,103.15869903564453
2019-07-29,103.61803436279297
2019-06-27,103.37371063232422
2019-04-24,105.21111297607422
2018-07-10,106.28618621826172
2018-09-12,104.66380310058594
2019-02-19,103.71578216552734
2019-01-18,104.46833801269531
2020-02-24,104.26309204101562
2020-05-13,105.35771942138672
2019-12-10,106.06139373779297
2020-02-27,108.89570617675781
2019-12-13,107.95745849609375
2020-05-19,106.50120544433594
2019-03-06,107.79130554199219
2018-11-30,106.40348052978516
2019-08-13,107.18787384033203
2019-07-12,105.2759017944336
2019-06-10,106.4328842163086
2019-05-09,107.12904357910156
2018-07-25,108.16837310791016
2018-09-27,108.10953521728516
2018-10-29,107.01138305664062
2019-10-16,104.55033874511719
2019-12-16,104.45228576660156
2020-03-04,103.89340209960938
2020-05-22,101.18722534179688
2019-10-01,98.79483032226562
2019-12-19,97.52998352050781
2018-09-10,99.4223403930664
2019-05-24,100.15771484375
2018-08-09,99.81454467773438
2019-04-22,100.46166229248047
2019-03-21,100.21654510498047
2019-01-16,98.77520751953125
2019-08-28,100.63815307617188
2018-11-13,101.0401611328125
2018-10-12,101.82455444335938
2019-06-25,102.775634765625
2020-03-10,103.7855453491211
2020-05-28,104.06990051269531
2019-10-07,103.93263244628906
2020-03-13,105.32492065429688
2019-10-10,104.96214294433594
2020-03-16,104.98175048828125
2020-06-03,106.61917877197266
2018-11-28,106.13874816894531
2018-09-25,106.54073333740234
2018-07-23,99.87336730957031
2018-08-24,100.64796447753906
2019-07-10,99.99103546142578
2019-05-07,99.2164306640625
2019-04-05,99.57920837402344
2019-03-04,100.54012298583984
2019-01-31,101.76573181152344
2019-09-12,102.85408020019531
2019-12-31,104.01107025146484
2020-03-19,103.54042053222656
2020-01-03,103.0698013305664
2020-06-09,103.37373352050781
2019-02-15,102.99134826660156
2019-01-14,103.383544921875
2018-07-06,102.9619369506836
2018-08-07,104.12871551513672
2018-10-10,104.4130630493164
2018-12-13,104.20716094970703
2019-08-26,103.31491088867188
2019-07-25,102.94231414794922
2019-05-22,103.13842010498047
2019-03-19,103.4129638671875
2020-01-06,103.37373352050781
2020-03-25,103.30510711669922
2020-06-12,103.44236755371094
2019-10-22,103.97183990478516
2020-01-09,102.8736801147461
2020-06-15,102.34422302246094
2019-10-25,101.60884094238281
2020-03-31,101.20548248291016
2020-06-18,98.36224365234375
2019-04-03,98.51964569091797
2018-08-22,98.57868194580078
2018-10-25,98.93285369873047
2019-01-29,100.01506042480469
2018-12-28,99.24767303466797
2018-11-26,99.91667938232422
2019-08-09,99.62152862548828
2019-07-08,98.8541488647461
2019-06-06,100.0544204711914
2019-09-10,98.83447265625
2020-01-15,97.4964828491211
2020-04-03,98.37207794189453
2019-10-31,97.74243927001953
2020-04-06,97.84081268310547
2020-06-24,98.04742431640625
2018-11-09,98.07693481445312
2019-07-23,98.50981140136719
2019-06-21,100.82179260253906
2019-05-20,98.39176940917969
2019-04-18,99.34605407714844
2018-09-06,99.29686737060547
2018-10-08,99.71007537841797
2019-02-13,99.91667938232422
2018-12-11,100.26101684570312
2019-09-25,100.61518096923828
2020-01-21,100.59550476074219
2020-04-09,100.1232681274414
2019-11-06,98.57868194580078
2020-01-24,98.49014282226562
2020-01-27,98.23434448242188
2020-04-15,99.24767303466797
2018-12-26,98.83447265625
2019-08-07,97.90967559814453
2019-06-04,99.34605407714844
2018-09-21,99.18865203857422
2018-07-19,99.3263931274414
2018-08-20,99.1492919921875
2018-10-23,97.64405059814453
2019-05-03,97.54566955566406
2019-04-01,96.78812408447266
2019-02-28,95.96172332763672
2019-11-12,95.96172332763672
2020-01-30,95.30256652832031
2019-11-15,95.61738586425781
2020-04-21,93.8071517944336
2019-04-16,94.26956176757812
2019-03-15,94.48600006103516
2019-02-11,95.01725769042969
2019-01-10,94.2498779296875
2019-08-22,93.53168487548828
2018-11-07,94.11214447021484
2018-08-03,94.57453155517578
2018-09-04,93.64974975585938
2019-06-19,93.11848449707031
2019-09-23,93.45298767089844
2019-11-18,92.86268615722656
2020-02-05,93.20703125
2020-04-24,92.59706115722656
2019-03-29,91.96742248535156
2019-11-21,92.83318328857422
2020-04-27,93.39395141601562
2020-02-11,94.16417694091797
2020-04-30,94.65789794921875
2019-05-01,94.77639770507812
2019-02-26,94.63813781738281
2019-01-25,95.32937622070312
2018-12-24,95.5367431640625
2019-09-06,95.57623291015625
2018-07-17,95.89222717285156
2018-09-19,96.47481536865234
2019-08-05,97.69928741455078
2019-10-08,98.13375854492188
2019-12-11,98.53861236572266
2019-11-27,98.33125305175781
2020-02-14,96.92906951904297
2020-05-06,96.1785888671875
2019-01-08,96.49457550048828
2018-12-07,96.90930938720703
2019-08-20,97.14629364013672
2018-11-05,98.04489135742188
2019-07-19,98.43987274169922
2018-10-04,98.57811737060547
2019-06-17,97.73877716064453
2019-05-16,97.71902465820312
2018-08-01,98.39049530029297
2019-03-13,98.43987274169922
2019-12-03,99.57544708251953
2020-02-20,100.25679016113281
2019-12-06,99.58531951904297
2020-05-12,99.30883026123047
2019-12-09,100.45429229736328
2020-02-26,99.94081115722656
2020-05-15,100.26667022705078
2019-03-28,99.61494445800781
2018-09-17,99.45695495605469
2018-08-16,93.8778076171875
2018-10-19,94.39128112792969
2019-04-29,94.11479187011719
2019-01-23,93.93704986572266
2019-09-04,93.05821228027344
2018-11-20,93.0680923461914
2019-07-02,92.36700439453125
2019-05-31,90.87592315673828
2019-12-12,90.4612045288086
2020-05-18,90.25382995605469
2019-09-27,91.26103973388672
2020-03-03,90.8265609741211
2020-05-21,90.07609558105469
2019-05-14,91.14253997802734
2018-08-31,90.14521026611328
2018-07-30,90.3624496459961
2018-10-02,91.28079223632812
2019-04-12,91.34991455078125
2019-03-11,90.7376937866211
2019-02-07,91.54740142822266
2019-07-17,91.77452087402344
2019-09-19,90.31307983398438
2019-10-21,91.03392028808594
2019-12-18,91.25116729736328
2020-03-06,90.96480560302734
2019-10-03,91.59678649902344
2020-03-09,91.81401824951172
