Dates,CTXS
2018-06-20,1705400.0
2018-06-21,1629600.0
2018-06-25,2322800.0
2018-06-22,2026400.0
2018-06-26,2055200.0
2018-06-27,1503400.0
2018-06-28,1448200.0
2018-06-29,1421400.0
2018-07-02,1834900.0
2018-07-03,818300.0
2018-07-05,1276400.0
2018-07-16,1001300.0
2018-09-18,836400.0
2019-01-24,955800.0
2019-09-05,987000.0
2018-11-21,1612800.0
2020-01-13,967800.0
2020-04-01,944200.0
2020-06-19,1290600.0
2019-10-29,1240400.0
2020-01-16,1027800.0
2020-06-22,1859100.0
2018-10-03,1391200.0
2018-07-31,1839900.0
2019-03-12,1427200.0
2019-02-08,3881000.0
2019-01-07,1697100.0
2018-12-06,1926900.0
2019-08-19,2029800.0
2019-07-18,1346300.0
2019-05-15,1986900.0
2019-09-20,1070800.0
2019-11-01,934400.0
2020-04-07,990000.0
2020-06-25,996400.0
2020-06-16,1326200.0
2019-11-04,986500.0
2020-01-22,1446800.0
2019-11-07,1158200.0
2020-04-13,1224200.0
2019-07-01,1353600.0
2019-05-30,2426700.0
2018-08-15,838900.0
2018-10-18,1004800.0
2019-03-27,762600.0
2019-01-22,1055100.0
2018-12-21,845100.0
2019-09-03,941900.0
2018-11-19,1185600.0
2019-08-02,1790900.0
2020-01-28,1229100.0
2020-04-16,1111500.0
2019-11-13,1287700.0
2020-01-31,1899800.0
2018-12-04,1099400.0
2018-11-02,898400.0
2019-07-16,1588000.0
2018-08-30,1100300.0
2018-10-01,1132400.0
2019-06-14,1007600.0
2019-05-13,1182900.0
2019-04-11,1529300.0
2019-02-06,1033100.0
2019-09-18,1953000.0
2020-02-03,1521200.0
2020-04-22,2837700.0
2019-11-19,2157900.0
2020-02-06,1894700.0
2019-11-22,1572900.0
2019-03-25,985700.0
2019-02-21,1180000.0
2018-12-19,1103900.0
2018-07-12,1164600.0
2018-09-14,896400.0
2018-08-13,1395400.0
2018-10-16,1429900.0
2019-07-31,1231200.0
2019-05-28,1192100.0
2019-04-26,3110500.0
2020-04-28,2730200.0
2019-11-25,2109900.0
2020-02-12,1977600.0
2020-05-01,1769400.0
2020-05-04,2592500.0
2019-06-12,2551400.0
2019-04-09,2730000.0
2019-03-08,2426900.0
2019-02-04,2012500.0
2018-07-27,2861000.0
2018-08-28,3043500.0
2019-01-03,2247900.0
2019-08-15,2784100.0
2018-10-31,1298200.0
2019-09-16,1971500.0
2020-02-18,1915900.0
2020-05-07,1674600.0
2018-08-17,1243500.0
2019-12-04,1566200.0
2020-02-21,1722100.0
2018-12-17,1139000.0
2019-08-30,1009200.0
2018-11-15,1705500.0
2019-07-29,1460100.0
2019-06-27,1406500.0
2019-04-24,1495100.0
2018-07-10,1459100.0
2018-09-12,1910000.0
2019-02-19,1458700.0
2019-01-18,1258900.0
2020-02-24,593600.0
2020-05-13,1137000.0
2019-12-10,1315400.0
