Dates,GS
2019-01-25,2059400.0
2018-12-24,1411400.0
2019-09-06,1403900.0
2018-07-17,1155600.0
2018-09-19,2363000.0
2019-08-05,2196800.0
2019-10-08,2749300.0
2019-12-11,3365500.0
2019-11-27,2069800.0
2020-02-14,1828300.0
2020-05-06,1649900.0
2019-01-08,2239200.0
2018-12-07,4854900.0
2019-08-20,2465700.0
2018-11-05,1621400.0
2019-07-19,978800.0
2018-10-04,1511400.0
2019-06-17,1853900.0
2019-05-16,1812100.0
2018-08-01,1779800.0
2019-03-13,3691600.0
2019-12-03,2626000.0
2020-02-20,2600200.0
2019-12-06,5283700.0
2020-05-12,2583500.0
2019-12-09,2858100.0
2020-02-26,1822300.0
2020-05-15,1907100.0
2019-03-28,3330600.0
2018-09-17,3180000.0
2018-08-16,2776700.0
2018-10-19,2304500.0
2019-04-29,1372800.0
2019-01-23,1644600.0
2019-09-04,1991100.0
2018-11-20,3070100.0
2019-07-02,2503000.0
2019-05-31,2794200.0
2019-12-12,2349400.0
2020-05-18,2454200.0
2019-09-27,2342200.0
2020-03-03,1790100.0
2020-05-21,1479300.0
2019-05-14,2115900.0
2018-08-31,3025100.0
2018-07-30,1981900.0
2018-10-02,1878700.0
2019-04-12,1646100.0
2019-03-11,1545600.0
2019-02-07,1160800.0
2019-07-17,1275900.0
2019-09-19,2200500.0
2019-10-21,1441900.0
2019-12-18,1513300.0
2020-03-06,1437800.0
2019-10-03,1816800.0
2020-03-09,1529600.0
2020-05-27,2633600.0
2019-12-24,1720600.0
2020-03-12,2237900.0
2018-12-20,1438800.0
2019-08-01,2734500.0
2018-08-14,2615800.0
2018-07-13,1886300.0
2018-10-17,2913800.0
2019-05-29,2722400.0
2019-03-26,2205500.0
2019-02-22,2429100.0
2019-10-04,2474900.0
2019-11-05,1596200.0
2019-12-27,5458900.0
2020-06-02,1485500.0
2019-12-30,2837600.0
2020-03-18,1593400.0
2020-06-05,1685500.0
2019-07-15,1530900.0
2018-12-03,1794500.0
2019-06-13,3156200.0
2019-01-04,3386800.0
2018-08-29,2914500.0
2019-02-05,3021100.0
2018-11-01,2202200.0
2019-08-16,2654900.0
2019-04-10,2443500.0
2019-09-17,2108000.0
2019-10-15,3334300.0
2020-01-02,2286100.0
2020-06-08,8241900.0
2019-10-18,3405800.0
2020-03-24,2876500.0
2020-06-11,2207000.0
2020-01-08,1934900.0
2019-04-25,1868000.0
2019-07-30,1574500.0
2019-02-20,1266500.0
2018-07-11,2602100.0
2018-09-13,2707800.0
2018-10-15,2030800.0
2019-06-28,1584900.0
2018-12-18,1876200.0
2018-11-16,2112300.0
2019-10-02,2538100.0
2020-03-27,2525100.0
2020-01-10,1863000.0
2019-10-24,3748600.0
2020-03-30,1610800.0
2020-06-17,2754500.0
2020-01-14,1891600.0
2020-04-02,1756000.0
2019-01-02,1483100.0
2019-08-14,1693100.0
2018-10-30,1603400.0
2019-06-11,1817100.0
2019-05-10,2177700.0
2019-04-08,1677700.0
2018-08-27,1529100.0
2018-07-26,2181800.0
2018-09-28,1926300.0
2019-03-07,1614600.0
2019-10-30,770400.0
2020-01-17,2118500.0
2020-06-23,3207100.0
2020-04-08,1583600.0
2020-06-26,1329300.0
2019-03-22,4229400.0
2019-01-17,2134600.0
2019-08-29,1854100.0
2018-11-14,1778600.0
2019-06-26,2974300.0
2018-09-11,1908200.0
2018-07-09,3218400.0
2018-08-10,3590000.0
2019-04-23,2280800.0
2019-09-30,2418100.0
2020-01-23,3715500.0
2019-11-08,1670400.0
2020-04-14,467700.0
2019-11-11,1704000.0
2020-01-29,1343900.0
2020-04-17,1494500.0
2018-07-24,1447200.0
2018-09-26,3736300.0
2019-05-08,2274500.0
2019-03-05,3329300.0
2019-02-01,5255200.0
2018-12-31,3564700.0
2018-11-29,3980700.0
2019-08-12,2248100.0
2019-07-11,3359200.0
2019-09-13,4302800.0
2019-11-14,5411200.0
2020-04-20,3968400.0
2020-02-04,3108400.0
2020-04-23,2492400.0
2018-12-14,2030900.0
2019-08-27,2806800.0
2018-08-08,2877400.0
2018-10-11,2506200.0
2018-11-12,3123000.0
2019-07-26,3711600.0
2019-06-24,3261700.0
2019-05-23,3482800.0
2019-03-20,2733000.0
2019-01-15,3052500.0
2019-11-20,3126600.0
2020-02-07,2225600.0
2020-02-10,3006500.0
2020-04-29,2591300.0
2019-11-26,2238800.0
2020-02-13,2119200.0
2019-01-30,1461300.0
2018-08-23,1718700.0
2018-09-24,2736500.0
2018-11-27,2207100.0
2018-10-26,3183700.0
2019-07-09,3081600.0
2019-06-07,4139400.0
2019-05-06,5343100.0
2019-04-04,4171100.0
2019-09-11,5848200.0
2019-11-29,6740700.0
2020-05-05,5285500.0
2019-12-02,5677200.0
2020-02-19,3520400.0
2020-05-08,4151500.0
2019-05-21,5071900.0
2019-03-18,6443000.0
2018-09-07,6803900.0
2018-08-06,5314000.0
2018-10-09,8357700.0
2019-02-14,6368400.0
2018-12-12,6888000.0
2019-07-24,6876300.0
2019-09-26,9543200.0
2019-10-28,6548200.0
2019-12-05,7561300.0
2020-05-11,5472600.0
2019-07-03,6647400.0
2020-02-25,8587800.0
2020-05-14,6762200.0
2020-02-28,4186700.0
2019-08-08,4152800.0
2019-06-05,3588200.0
2018-07-20,4689100.0
2018-08-21,4446900.0
2018-10-24,2801600.0
2019-04-02,4689400.0
2019-03-01,4953500.0
2019-01-28,5194800.0
2018-12-27,6449900.0
2019-09-09,4774300.0
2020-03-02,4149600.0
2020-05-20,6042700.0
2019-12-17,4662200.0
2020-03-05,5426700.0
2019-02-12,4674800.0
2019-01-11,3819000.0
2018-12-10,2316600.0
2019-08-23,2013300.0
2018-11-08,2024400.0
2019-07-22,2743100.0
2019-06-20,3344700.0
2018-09-05,3086300.0
2019-04-17,2695400.0
2019-09-24,2650200.0
2019-12-20,2990100.0
2020-05-26,3272600.0
2019-04-30,2408700.0
2019-12-23,2480100.0
2020-03-11,2282600.0
2020-05-29,2212200.0
2019-12-26,3549200.0
2020-06-01,3445300.0
2019-05-02,4176700.0
2019-02-27,2867800.0
2018-11-23,4512600.0
2019-08-06,2210500.0
2018-07-18,2599900.0
2018-09-20,2153500.0
2018-10-22,2176400.0
2019-07-05,5971200.0
2019-06-03,8182100.0
2019-10-09,4886100.0
2019-10-11,3824500.0
2020-03-17,2230800.0
2020-06-04,4128700.0
2019-10-14,3471900.0
2020-03-20,3522300.0
2018-11-06,4737600.0
2019-06-18,3260300.0
2019-05-17,2478400.0
2019-04-15,3091200.0
2019-03-14,4923400.0
2019-01-09,3380800.0
2018-08-02,3467400.0
2018-10-05,3099100.0
2019-08-21,1798300.0
2019-10-17,2051700.0
2020-03-23,4962400.0
2020-06-10,1806900.0
2019-02-25,2451800.0
2020-01-07,2756700.0
2020-03-26,3466500.0
2019-10-23,9530700.0
