Dates,XRAY
2018-06-20,44.84000015258789
2018-06-21,44.380001068115234
2018-06-25,44.459999084472656
2018-06-22,44.36000061035156
2018-06-26,44.2400016784668
2018-06-27,43.95000076293945
2018-06-28,43.099998474121094
2018-06-29,43.209999084472656
2018-07-02,42.90999984741211
2018-07-03,43.810001373291016
2018-07-05,44.349998474121094
2018-07-16,45.029998779296875
2018-09-18,45.310001373291016
2019-01-24,45.060001373291016
2019-09-05,44.310001373291016
2018-11-21,44.900001525878906
2020-01-13,45.290000915527344
2020-04-01,44.540000915527344
2020-06-19,44.65999984741211
2019-10-29,43.97999954223633
2020-01-16,44.16999816894531
2020-06-22,44.77000045776367
2018-10-03,44.68000030517578
2018-07-31,46.279998779296875
2019-03-12,46.29999923706055
2019-02-08,46.439998626708984
2019-01-07,46.79999923706055
2018-12-06,46.619998931884766
2019-08-19,47.310001373291016
2019-07-18,46.70000076293945
2019-05-15,46.380001068115234
2019-09-20,47.06999969482422
2019-11-01,47.70000076293945
2020-04-07,38.83000183105469
2020-06-25,39.189998626708984
2020-06-16,40.06999969482422
2019-11-04,38.79999923706055
2020-01-22,38.939998626708984
2019-11-07,38.90999984741211
2020-04-13,37.75
2019-07-01,37.70000076293945
2019-05-30,37.77000045776367
2018-08-15,38.369998931884766
2018-10-18,38.5
2019-03-27,38.369998931884766
2019-01-22,38.0
2018-12-21,38.08000183105469
2019-09-03,38.25
2018-11-19,38.560001373291016
2019-08-02,39.09000015258789
2020-01-28,38.849998474121094
2020-04-16,39.52000045776367
2019-11-13,38.439998626708984
2020-01-31,38.529998779296875
2018-12-04,38.880001068115234
2018-11-02,38.43000030517578
2019-07-16,38.06999969482422
2018-08-30,37.459999084472656
2018-10-01,38.34000015258789
2019-06-14,38.290000915527344
2019-05-13,38.22999954223633
2019-04-11,37.93000030517578
2019-02-06,37.7599983215332
2019-09-18,38.06999969482422
2020-02-03,38.540000915527344
2020-04-22,38.119998931884766
2019-11-19,38.04999923706055
2020-02-06,37.18000030517578
2019-11-22,37.25
2019-03-25,37.47999954223633
2019-02-21,37.56999969482422
2018-12-19,37.59000015258789
2018-07-12,37.29999923706055
2018-09-14,37.02000045776367
2018-08-13,35.79999923706055
2018-10-16,35.939998626708984
2019-07-31,35.91999816894531
2019-05-28,35.59000015258789
2019-04-26,35.5099983215332
2020-04-28,35.29999923706055
2019-11-25,35.58000183105469
2020-02-12,35.7400016784668
2020-05-01,36.130001068115234
2020-05-04,36.86000061035156
2019-06-12,35.529998779296875
2019-04-09,36.27000045776367
2019-03-08,35.72999954223633
2019-02-04,35.349998474121094
2018-07-27,34.9900016784668
2018-08-28,34.34000015258789
2019-01-03,34.099998474121094
2019-08-15,33.93000030517578
2018-10-31,34.08000183105469
2019-09-16,34.349998474121094
2020-02-18,34.47999954223633
2020-05-07,34.810001373291016
2018-08-17,34.790000915527344
2019-12-04,34.58000183105469
2020-02-21,35.619998931884766
2018-12-17,35.7599983215332
2019-08-30,35.06999969482422
2018-11-15,35.13999938964844
2019-07-29,36.29999923706055
2019-06-27,36.060001373291016
2019-04-24,35.58000183105469
2018-07-10,36.310001373291016
2018-09-12,36.7599983215332
2019-02-19,36.27000045776367
2019-01-18,36.790000915527344
2020-02-24,36.45000076293945
2020-05-13,36.619998931884766
2019-12-10,36.56999969482422
2020-02-27,36.66999816894531
2019-12-13,36.97999954223633
2020-05-19,36.709999084472656
2019-03-06,37.650001525878906
2018-11-30,36.720001220703125
2019-08-13,35.599998474121094
2019-07-12,35.970001220703125
2019-06-10,35.72999954223633
2019-05-09,36.63999938964844
2018-07-25,37.41999816894531
2018-09-27,37.2400016784668
2018-10-29,36.29999923706055
2019-10-16,36.59000015258789
2019-12-16,35.91999816894531
2020-03-04,35.630001068115234
2020-05-22,34.939998626708984
2019-10-01,35.369998931884766
2019-12-19,34.93000030517578
2018-09-10,35.2400016784668
2019-05-24,36.119998931884766
2018-08-09,36.900001525878906
2019-04-22,36.7599983215332
2019-03-21,36.630001068115234
2019-01-16,37.540000915527344
2019-08-28,38.0
2018-11-13,38.97999954223633
2018-10-12,39.31999969482422
2019-06-25,39.5
2020-03-10,39.16999816894531
2020-05-28,39.650001525878906
2019-10-07,39.88999938964844
2020-03-13,39.689998626708984
2019-10-10,39.59000015258789
2020-03-16,39.66999816894531
2020-06-03,40.029998779296875
2018-11-28,40.310001373291016
2018-09-25,40.65999984741211
2018-07-23,40.5099983215332
2018-08-24,40.7400016784668
2019-07-10,40.2599983215332
2019-05-07,40.59000015258789
2019-04-05,40.83000183105469
2019-03-04,41.400001525878906
2019-01-31,41.7599983215332
2019-09-12,42.09000015258789
2019-12-31,42.849998474121094
2020-03-19,43.06999969482422
2020-01-03,42.619998931884766
2020-06-09,42.18000030517578
2019-02-15,42.43000030517578
2019-01-14,42.900001525878906
2018-07-06,43.11000061035156
2018-08-07,43.45000076293945
2018-10-10,43.54999923706055
2018-12-13,43.36000061035156
2019-08-26,42.15999984741211
2019-07-25,41.5
2019-05-22,41.58000183105469
2019-03-19,41.529998779296875
2020-01-06,41.08000183105469
2020-03-25,40.86000061035156
2020-06-12,41.18000030517578
2019-10-22,45.869998931884766
2020-01-09,48.11000061035156
2020-06-15,48.599998474121094
2019-10-25,47.65999984741211
2020-03-31,47.380001068115234
2020-06-18,47.5
2019-04-03,48.5
2018-08-22,49.2400016784668
2018-10-25,49.150001525878906
2019-01-29,49.060001373291016
2018-12-28,48.79999923706055
2018-11-26,48.939998626708984
2019-08-09,49.310001373291016
2019-07-08,49.0
2019-06-06,48.95000076293945
2019-09-10,49.130001068115234
2020-01-15,48.7400016784668
2020-04-03,49.130001068115234
2019-10-31,48.810001373291016
2020-04-06,48.939998626708984
2020-06-24,48.869998931884766
2018-11-09,49.43000030517578
2019-07-23,49.650001525878906
2019-06-21,50.16999816894531
2019-05-20,50.0
2019-04-18,50.34000015258789
2018-09-06,49.9900016784668
2018-10-08,50.11000061035156
2019-02-13,50.22999954223633
2018-12-11,50.380001068115234
2019-09-25,50.5099983215332
2020-01-21,50.84000015258789
2020-04-09,50.16999816894531
2019-11-06,48.56999969482422
2020-01-24,48.4900016784668
2020-01-27,49.099998474121094
2020-04-15,49.220001220703125
2018-12-26,49.56999969482422
2019-08-07,48.900001525878906
2019-06-04,50.060001373291016
2018-09-21,50.33000183105469
2018-07-19,50.47999954223633
2018-08-20,50.08000183105469
