Dates,HIG
2018-06-20,1649600.0
2018-06-21,1554700.0
2018-06-25,2224000.0
2018-06-22,2060600.0
2018-06-26,2464400.0
2018-06-27,2234700.0
2018-06-28,1672500.0
2018-06-29,3272800.0
2018-07-02,1729600.0
2018-07-03,704000.0
2018-07-05,1264900.0
2018-07-16,1081000.0
2018-09-18,2231400.0
2019-01-24,1726200.0
2019-09-05,2016300.0
2018-11-21,1233800.0
2020-01-13,689800.0
2020-04-01,1033000.0
2020-06-19,1173100.0
2019-10-29,1816700.0
2020-01-16,1882500.0
2020-06-22,2323800.0
2018-10-03,2011000.0
2018-07-31,1931900.0
2019-03-12,1613300.0
2019-02-08,2519300.0
2019-01-07,5431200.0
2018-12-06,3086900.0
2019-08-19,2036200.0
2019-07-18,1604900.0
2019-05-15,1505000.0
2019-09-20,1596800.0
2019-11-01,944100.0
2020-04-07,1676700.0
2020-06-25,2233900.0
2020-06-16,1263300.0
2019-11-04,1275200.0
2020-01-22,2058100.0
2019-11-07,1576600.0
2020-04-13,1472500.0
2019-07-01,2144800.0
2019-05-30,1149800.0
2018-08-15,1090000.0
2018-10-18,1422700.0
2019-03-27,9037200.0
2019-01-22,3685100.0
2018-12-21,3030000.0
2019-09-03,5053300.0
2018-11-19,3239700.0
2019-08-02,2679300.0
2020-01-28,1843800.0
2020-04-16,1662000.0
2019-11-13,3206700.0
2020-01-31,3537400.0
2018-12-04,2517700.0
2018-11-02,2996500.0
2019-07-16,2351300.0
2018-08-30,2855300.0
2018-10-01,1937000.0
2019-06-14,2022200.0
2019-05-13,1820600.0
2019-04-11,1253000.0
2019-02-06,1613700.0
2019-09-18,2283000.0
2020-02-03,3133300.0
2020-04-22,4039300.0
2019-11-19,2778900.0
2020-02-06,2065000.0
2019-11-22,2696100.0
2019-03-25,1751700.0
2019-02-21,2347300.0
2018-12-19,2683400.0
2018-07-12,1939800.0
2018-09-14,2586800.0
2018-08-13,2323000.0
2018-10-16,1637100.0
2019-07-31,1676400.0
2019-05-28,2681600.0
2019-04-26,2662400.0
2020-04-28,3400300.0
2019-11-25,3749600.0
2020-02-12,2478600.0
2020-05-01,1860300.0
2020-05-04,2046900.0
2019-06-12,2928100.0
2019-04-09,2450300.0
2019-03-08,1797000.0
2019-02-04,3612000.0
2018-07-27,3957700.0
2018-08-28,3355400.0
2019-01-03,8191200.0
2019-08-15,3591800.0
2018-10-31,2799800.0
2019-09-16,3883400.0
2020-02-18,2313200.0
2020-05-07,4943600.0
2018-08-17,2457500.0
2019-12-04,2675700.0
2020-02-21,2462400.0
2018-12-17,2427100.0
2019-08-30,2099200.0
2018-11-15,2256800.0
2019-07-29,2316700.0
2019-06-27,3798200.0
2019-04-24,2857200.0
2018-07-10,5793100.0
2018-09-12,3176500.0
2019-02-19,4390500.0
2019-01-18,3275300.0
2020-02-24,816000.0
2020-05-13,1915400.0
2019-12-10,1780300.0
2020-02-27,2215900.0
2019-12-13,1663000.0
2020-05-19,2516700.0
2019-03-06,2361300.0
