Dates,TWTR
2018-06-20,46.91999816894531
2018-06-21,46.869998931884766
2018-06-25,46.0099983215332
2018-06-22,45.52000045776367
2018-06-26,45.31999969482422
2018-06-27,46.220001220703125
2018-06-28,44.84000015258789
2018-06-29,45.20000076293945
2018-07-02,45.0
2018-07-03,45.47999954223633
2018-07-05,45.11000061035156
2018-07-16,46.75
2018-09-18,46.900001525878906
2019-01-24,45.2599983215332
2019-09-05,44.099998474121094
2018-11-21,45.34000015258789
2020-01-13,45.31999969482422
2020-04-01,44.72999954223633
2020-06-19,45.2599983215332
2019-10-29,44.75
2020-01-16,43.869998931884766
2020-06-22,44.130001068115234
2018-10-03,43.849998474121094
2018-07-31,43.79999923706055
2019-03-12,44.38999938964844
2019-02-08,43.40999984741211
2019-01-07,37.470001220703125
2018-12-06,34.2599983215332
2019-08-19,32.47999954223633
2019-07-18,32.59000015258789
2019-05-15,32.869998931884766
2019-09-20,32.9900016784668
2019-11-01,33.040000915527344
2020-04-07,33.61000061035156
2020-06-25,32.779998779296875
2020-06-16,32.380001068115234
2019-11-04,32.25
2020-01-22,33.619998931884766
2019-11-07,33.43000030517578
2020-04-13,33.22999954223633
2019-07-01,33.150001525878906
2019-05-30,33.09000015258789
2018-08-15,32.939998626708984
2018-10-18,34.13999938964844
2019-03-27,34.16999816894531
2019-01-22,34.7400016784668
2018-12-21,34.4900016784668
2019-09-03,36.0
2018-11-19,36.040000915527344
2019-08-02,35.599998474121094
2020-01-28,36.150001525878906
2020-04-16,35.720001220703125
2019-11-13,35.130001068115234
2020-01-31,34.70000076293945
2018-12-04,32.95000076293945
2018-11-02,31.389999389648438
2019-07-16,30.600000381469727
2018-08-30,31.440000534057617
2018-10-01,30.829999923706055
2019-06-14,30.56999969482422
2019-05-13,30.770000457763672
2019-04-11,29.280000686645508
2019-02-06,29.6299991607666
2019-09-18,29.559999465942383
2020-02-03,30.020000457763672
2020-04-22,29.950000762939453
2019-11-19,29.1200008392334
