Dates,TWTR
2018-09-21,19680000.0
2018-07-19,22912000.0
2018-08-20,14962600.0
2018-10-23,13419100.0
2019-05-03,15577100.0
2019-04-01,14517400.0
2019-02-28,19283100.0
2019-11-12,9168400.0
2020-01-30,10010700.0
2019-11-15,12259000.0
2020-04-21,16829700.0
2019-04-16,11125100.0
2019-03-15,11523100.0
2019-02-11,10104400.0
2019-01-10,9090300.0
2019-08-22,9411900.0
2018-11-07,8861400.0
2018-08-03,21105400.0
2018-09-04,18398800.0
2019-06-19,9303900.0
2019-09-23,11770300.0
2019-11-18,12270300.0
2020-02-05,7413100.0
2020-04-24,8556100.0
2019-03-29,22217100.0
2019-11-21,15357100.0
2020-04-27,12798700.0
2020-02-11,8863000.0
2020-04-30,15399700.0
2019-05-01,10036400.0
2019-02-26,9528600.0
2019-01-25,6793300.0
2018-12-24,21679400.0
2019-09-06,7791100.0
2018-07-17,7896000.0
2018-09-19,12705500.0
2019-08-05,12059700.0
2019-10-08,19676100.0
2019-12-11,12853600.0
2019-11-27,9216800.0
2020-02-14,11196400.0
2020-05-06,8744800.0
2019-01-08,12655900.0
2018-12-07,15505300.0
2019-08-20,14416800.0
2018-11-05,8393200.0
2019-07-19,5372600.0
2018-10-04,6084800.0
2019-06-17,8058100.0
2019-05-16,14218000.0
2018-08-01,11831800.0
2019-03-13,8549500.0
2019-12-03,8048700.0
2020-02-20,12738700.0
2019-12-06,10979600.0
2020-05-12,7926600.0
2019-12-09,11125900.0
2020-02-26,10842400.0
2020-05-15,8405600.0
2019-03-28,10741500.0
2018-09-17,12488500.0
2018-08-16,21255400.0
2018-10-19,57527600.0
2019-04-29,21170600.0
2019-01-23,15670600.0
2019-09-04,29745300.0
2018-11-20,22883600.0
2019-07-02,20617200.0
2019-05-31,23081000.0
2019-12-12,15077900.0
2020-05-18,15427600.0
2019-09-27,14684600.0
2020-03-03,11419600.0
2020-05-21,6934500.0
2019-05-14,12429900.0
2018-08-31,11638700.0
2018-07-30,12583100.0
2018-10-02,7998800.0
2019-04-12,10276500.0
2019-03-11,11356700.0
2019-02-07,12018600.0
2019-07-17,8277000.0
2019-09-19,14036200.0
2019-10-21,6403600.0
2019-12-18,16087500.0
2020-03-06,10418400.0
2019-10-03,10594400.0
2020-03-09,8863600.0
2020-05-27,16159600.0
2019-12-24,11567900.0
2020-03-12,19319800.0
2018-12-20,13108500.0
2019-08-01,14547400.0
2018-08-14,14040100.0
2018-07-13,7861200.0
2018-10-17,8251700.0
2019-05-29,8059600.0
2019-03-26,6187900.0
2019-02-22,8654400.0
2019-10-04,7845100.0
2019-11-05,7372600.0
2019-12-27,19372900.0
2020-06-02,9992400.0
2019-12-30,16120700.0
2020-03-18,9731600.0
2020-06-05,5951400.0
2019-07-15,11933700.0
2018-12-03,7541400.0
2019-06-13,9278800.0
2019-01-04,9306300.0
2018-08-29,13421400.0
2019-02-05,6283700.0
2018-11-01,6563700.0
2019-08-16,7304300.0
2019-04-10,8021300.0
2019-09-17,6718000.0
2019-10-15,9198900.0
2020-01-02,6393600.0
2020-06-08,7676700.0
2019-10-18,8324900.0
2020-03-24,7147100.0
2020-06-11,12582900.0
2020-01-08,9351100.0
2019-04-25,12817700.0
2019-07-30,20276200.0
2019-02-20,105112500.0
2018-07-11,43837200.0
2018-09-13,29893900.0
2018-10-15,20674800.0
2019-06-28,25518700.0
2018-12-18,36865100.0
2018-11-16,22716700.0
2019-10-02,20340200.0
2020-03-27,16645900.0
2020-01-10,15313800.0
2019-10-24,22740600.0
2020-03-30,10619500.0
2020-06-17,9675000.0
2020-01-14,15144200.0
2020-04-02,9217700.0
2019-01-02,13684600.0
2019-08-14,12163300.0
2018-10-30,14493100.0
2019-06-11,9950900.0
2019-05-10,14280400.0
2019-04-08,24304400.0
2018-08-27,14188300.0
2018-07-26,14035700.0
2018-09-28,16323900.0
2019-03-07,14151900.0
2019-10-30,7814500.0
2020-01-17,14524700.0
2020-06-23,16399500.0
2020-04-08,9765000.0
2020-06-26,11060800.0
2019-03-22,10869700.0
2019-01-17,9955100.0
2019-08-29,12362400.0
2018-11-14,11006200.0
2019-06-26,18912600.0
2018-09-11,12836700.0
2018-07-09,15852100.0
2018-08-10,11906500.0
2019-04-23,19030900.0
2019-09-30,19880000.0
2020-01-23,21854600.0
2019-11-08,13983300.0
2020-04-14,4290500.0
2019-11-11,9797300.0
2020-01-29,10409400.0
2020-04-17,9391200.0
2018-07-24,11050600.0
2018-09-26,10721100.0
2019-05-08,14429500.0
2019-03-05,12582500.0
