Dates,EXPE
2018-06-20,125.41999816894531
2018-06-21,126.38999938964844
2018-06-25,125.61000061035156
2018-06-22,124.69000244140625
2018-06-26,122.86000061035156
2018-06-27,123.22000122070312
2018-06-28,121.23999786376953
2018-06-29,121.77999877929688
2018-07-02,121.94999694824219
2018-07-03,124.63999938964844
2018-07-05,123.91999816894531
2018-07-16,126.1500015258789
2018-09-18,127.72000122070312
2019-01-24,127.95999908447266
2019-09-05,126.9800033569336
2018-11-21,127.94000244140625
2020-01-13,127.73999786376953
2020-04-01,127.5
2020-06-19,129.49000549316406
2019-10-29,129.75999450683594
2020-01-16,128.5399932861328
2020-06-22,127.62999725341797
2018-10-03,126.5
2018-07-31,128.89999389648438
2019-03-12,127.80000305175781
2019-02-08,128.5399932861328
2019-01-07,139.77000427246094
2018-12-06,138.44000244140625
2019-08-19,134.8800048828125
2019-07-18,134.67999267578125
2019-05-15,133.38999938964844
2019-09-20,133.08999633789062
2019-11-01,133.89999389648438
2020-04-07,134.35000610351562
2020-06-25,133.02000427246094
2020-06-16,134.55999755859375
2019-11-04,133.1199951171875
2020-01-22,132.7899932861328
2019-11-07,134.22999572753906
2020-04-13,133.22999572753906
2019-07-01,133.30999755859375
2019-05-30,131.66000366210938
2018-08-15,132.05999755859375
2018-10-18,132.6199951171875
2019-03-27,130.97000122070312
2019-01-22,129.69000244140625
2018-12-21,130.85000610351562
2019-09-03,132.7899932861328
2018-11-19,132.1999969482422
2019-08-02,133.25999450683594
2020-01-28,133.05999755859375
2020-04-16,132.0
2019-11-13,130.5
2020-01-31,127.0
2018-12-04,124.94999694824219
2018-11-02,129.44000244140625
2019-07-16,129.39999389648438
2018-08-30,129.99000549316406
2018-10-01,132.11000061035156
2019-06-14,132.35000610351562
2019-05-13,131.75999450683594
2019-04-11,130.1199951171875
2019-02-06,131.49000549316406
2019-09-18,133.27999877929688
2020-02-03,134.77000427246094
2020-04-22,135.69000244140625
2019-11-19,133.2899932861328
2020-02-06,132.57000732421875
2019-11-22,132.99000549316406
2019-03-25,132.9600067138672
2019-02-21,131.60000610351562
2018-12-19,131.9199981689453
2018-07-12,130.6199951171875
2018-09-14,129.47000122070312
2018-08-13,129.3000030517578
2018-10-16,127.37000274658203
2019-07-31,124.1500015258789
2019-05-28,123.43000030517578
2019-04-26,121.30000305175781
2020-04-28,118.47000122070312
2019-11-25,119.69000244140625
2020-02-12,119.61000061035156
2020-05-01,122.0999984741211
2020-05-04,121.58000183105469
2019-06-12,120.5
2019-04-09,119.58000183105469
2019-03-08,119.93000030517578
2019-02-04,117.52999877929688
2018-07-27,119.38999938964844
2018-08-28,119.0999984741211
2019-01-03,125.44000244140625
2019-08-15,125.44999694824219
2018-10-31,125.02999877929688
2019-09-16,126.7300033569336
2020-02-18,127.86000061035156
2020-05-07,128.85000610351562
2018-08-17,127.5999984741211
2019-12-04,127.88999938964844
2020-02-21,128.67999267578125
2018-12-17,128.69000244140625
2019-08-30,125.97000122070312
2018-11-15,124.26000213623047
2019-07-29,124.3499984741211
2019-06-27,125.18000030517578
2019-04-24,121.94000244140625
2018-07-10,120.98999786376953
2018-09-12,117.38999938964844
2019-02-19,112.87000274658203
2019-01-18,114.93000030517578
2020-02-24,113.72000122070312
2020-05-13,117.0
2019-12-10,117.88999938964844
2020-02-27,120.52999877929688
2019-12-13,120.3499984741211
2020-05-19,121.94000244140625
2019-03-06,123.56999969482422
2018-11-30,121.93000030517578
2019-08-13,120.75
2019-07-12,121.56999969482422
2019-06-10,119.69000244140625
2019-05-09,121.70999908447266
2018-07-25,122.76000213623047
2018-09-27,122.12000274658203
2018-10-29,119.37000274658203
2019-10-16,119.25
2019-12-16,119.5199966430664
2020-03-04,120.95999908447266
2020-05-22,115.83999633789062
2019-10-01,115.37999725341797
2019-12-19,110.58999633789062
2018-09-10,114.4000015258789
2019-05-24,114.4800033569336
2018-08-09,114.98999786376953
2019-04-22,114.5999984741211
2019-03-21,113.0
2019-01-16,112.02999877929688
2019-08-28,114.0
2018-11-13,115.25
2018-10-12,117.25
2019-06-25,115.38999938964844
2020-03-10,114.7699966430664
2020-05-28,114.25
2019-10-07,115.45999908447266
2020-03-13,116.91000366210938
2019-10-10,117.0
2020-03-16,117.4800033569336
2020-06-03,119.45999908447266
2018-11-28,118.01000213623047
2018-09-25,117.33999633789062
2018-07-23,118.27999877929688
2018-08-24,118.05999755859375
2019-07-10,118.16000366210938
2019-05-07,117.8499984741211
2019-04-05,120.08999633789062
2019-03-04,120.86000061035156
2019-01-31,122.05999755859375
2019-09-12,124.56999969482422
2019-12-31,127.02999877929688
2020-03-19,127.91999816894531
2020-01-03,128.41000366210938
2020-06-09,135.1300048828125
2019-02-15,132.0
2019-01-14,127.8499984741211
2018-07-06,127.5
2018-08-07,127.80999755859375
2018-10-10,127.83999633789062
2018-12-13,128.6199951171875
2019-08-26,129.6699981689453
2019-07-25,128.80999755859375
2019-05-22,129.33999633789062
2019-03-19,128.22999572753906
2020-01-06,128.32000732421875
2020-03-25,129.1199951171875
2020-06-12,126.91999816894531
2019-10-22,125.83999633789062
2020-01-09,126.44999694824219
2020-06-15,126.5
2019-10-25,127.5
2020-03-31,125.43000030517578
2020-06-18,122.47000122070312
2019-04-03,122.06999969482422
2018-08-22,122.29000091552734
2018-10-25,121.43000030517578
2019-01-29,121.41000366210938
2018-12-28,122.29000091552734
2018-11-26,122.30000305175781
2019-08-09,123.38999938964844
2019-07-08,123.02999877929688
2019-06-06,124.2699966430664
2019-09-10,124.27999877929688
2020-01-15,122.45999908447266
2020-04-03,124.41999816894531
2019-10-31,122.62999725341797
2020-04-06,120.25
2020-06-24,120.73999786376953
2018-11-09,120.80999755859375
2019-07-23,121.04000091552734
2019-06-21,122.45999908447266
2019-05-20,123.06999969482422
2019-04-18,124.08999633789062
2018-09-06,123.31999969482422
2018-10-08,124.25
2019-02-13,124.3499984741211
2018-12-11,125.0
2019-09-25,126.29000091552734
2020-01-21,126.19000244140625
2020-04-09,128.24000549316406
2019-11-06,127.05999755859375
2020-01-24,125.16999816894531
2020-01-27,124.76000213623047
2020-04-15,126.4800033569336
2018-12-26,126.5
2019-08-07,126.38999938964844
2019-06-04,129.1999969482422
2018-09-21,130.63999938964844
2018-07-19,130.10000610351562
2018-08-20,131.7100067138672
2018-10-23,128.92999267578125
2019-05-03,127.18000030517578
2019-04-01,125.94000244140625
2019-02-28,125.33999633789062
2019-11-12,122.80000305175781
2020-01-30,120.87000274658203
2019-11-15,120.62000274658203
2020-04-21,117.02999877929688
2019-04-16,119.91999816894531
2019-03-15,120.94999694824219
2019-02-11,120.44000244140625
2019-01-10,118.22000122070312
2019-08-22,116.97000122070312
2018-11-07,117.91000366210938
2018-08-03,117.75
2018-09-04,117.38999938964844
2019-06-19,117.73999786376953
2019-09-23,117.22000122070312
2019-11-18,116.5
2020-02-05,116.80999755859375
2020-04-24,116.13999938964844
2019-03-29,116.91999816894531
2019-11-21,120.4000015258789
2020-04-27,120.62000274658203
2020-02-11,122.2300033569336
2020-04-30,122.94000244140625
2019-05-01,124.48999786376953
2019-02-26,124.16000366210938
2019-01-25,124.51000213623047
2018-12-24,126.33999633789062
2019-09-06,127.83999633789062
2018-07-17,128.39999389648438
2018-09-19,129.1699981689453
2019-08-05,129.94000244140625
2019-10-08,130.8000030517578
2019-12-11,131.13999938964844
2019-11-27,131.9499969482422
2020-02-14,131.60000610351562
2020-05-06,130.7100067138672
2019-01-08,130.32000732421875
2018-12-07,133.2899932861328
2019-08-20,134.1999969482422
2018-11-05,134.0500030517578
2019-07-19,135.0
2018-10-04,135.1699981689453
2019-06-17,135.02999877929688
2019-05-16,133.7100067138672
2018-08-01,134.49000549316406
2019-03-13,133.99000549316406
2019-12-03,134.75999450683594
2020-02-20,135.1999969482422
2019-12-06,136.5399932861328
2020-05-12,137.16000366210938
2019-12-09,137.13999938964844
2020-02-26,137.3800048828125
2020-05-15,136.74000549316406
2019-03-28,137.6300048828125
2018-09-17,138.44000244140625
2018-08-16,139.49000549316406
2018-10-19,144.0
2019-04-29,139.97999572753906
2019-01-23,137.0800018310547
2019-09-04,137.2899932861328
2018-11-20,133.47999572753906
2019-07-02,132.02999877929688
2019-05-31,128.27999877929688
2019-12-12,128.13999938964844
2020-05-18,127.44999694824219
2019-09-27,131.33999633789062
2020-03-03,130.6999969482422
2020-05-21,128.55999755859375
2019-05-14,130.5
2018-08-31,128.3000030517578
2018-07-30,127.69999694824219
2018-10-02,128.66000366210938
2019-04-12,131.11000061035156
2019-03-11,131.1699981689453
2019-02-07,131.5399932861328
2019-07-17,131.64999389648438
2019-09-19,130.5399932861328
2019-10-21,128.66000366210938
2019-12-18,129.69000244140625
2020-03-06,129.91000366210938
2019-10-03,131.74000549316406
2020-03-09,131.3699951171875
2020-05-27,130.3800048828125
2019-12-24,130.07000732421875
2020-03-12,131.99000549316406
2018-12-20,133.80999755859375
2019-08-01,131.52000427246094
2018-08-14,131.2100067138672
2018-07-13,130.61000061035156
2018-10-17,132.27999877929688
2019-05-29,133.02000427246094
2019-03-26,132.02999877929688
2019-02-22,132.89999389648438
2019-10-04,134.0800018310547
2019-11-05,135.97999572753906
2019-12-27,135.8000030517578
2020-06-02,134.5399932861328
2019-12-30,133.77000427246094
2020-03-18,134.32000732421875
2020-06-05,133.74000549316406
2019-07-15,134.0
2018-12-03,135.0500030517578
2019-06-13,135.2899932861328
2019-01-04,134.4199981689453
2018-08-29,133.2899932861328
2019-02-05,133.75
2018-11-01,133.07000732421875
2019-08-16,132.8300018310547
2019-04-10,133.97000122070312
2019-09-17,136.41000366210938
2019-10-15,139.8800048828125
2020-01-02,138.6699981689453
2020-06-08,137.92999267578125
2019-10-18,139.2100067138672
2020-03-24,138.6699981689453
2020-06-11,138.33999633789062
2020-01-08,137.75
2019-04-25,137.75
2019-07-30,138.30999755859375
2019-02-20,139.32000732421875
2018-07-11,138.42999267578125
2018-09-13,138.89999389648438
2018-10-15,138.0399932861328
2019-06-28,137.10000610351562
2018-12-18,137.22000122070312
2018-11-16,138.19000244140625
2019-10-02,138.72000122070312
2020-03-27,137.14999389648438
2020-01-10,136.64999389648438
2019-10-24,115.43000030517578
2020-03-30,101.98999786376953
2020-06-17,100.97000122070312
2020-01-14,98.69000244140625
2020-04-02,97.69999694824219
2019-01-02,95.77999877929688
2019-08-14,96.2300033569336
2018-10-30,96.1500015258789
2019-06-11,95.2699966430664
2019-05-10,95.05000305175781
2019-04-08,95.18000030517578
2018-08-27,96.81999969482422
2018-07-26,98.9800033569336
2018-09-28,99.91000366210938
2019-03-07,102.1500015258789
2019-10-30,102.87000274658203
2020-01-17,101.66000366210938
2020-06-23,99.93000030517578
2020-04-08,109.31999969482422
2020-06-26,106.98999786376953
2019-03-22,109.08000183105469
2019-01-17,109.44000244140625
2019-08-29,113.16999816894531
2018-11-14,112.44999694824219
2019-06-26,113.95999908447266
2018-09-11,114.55000305175781
2018-07-09,114.5199966430664
2018-08-10,114.19999694824219
2019-04-23,111.63999938964844
2019-09-30,111.01000213623047
2020-01-23,110.94999694824219
2019-11-08,110.55999755859375
2020-04-14,109.29000091552734
2019-11-11,109.5
2020-01-29,109.56999969482422
2020-04-17,108.76000213623047
2018-07-24,108.27999877929688
2018-09-26,111.1500015258789
2019-05-08,110.44000244140625
2019-03-05,109.06999969482422
2019-02-01,110.30000305175781
2018-12-31,110.9800033569336
2018-11-29,110.06999969482422
2019-08-12,111.05000305175781
2019-07-11,111.37000274658203
2019-09-13,110.80000305175781
2019-11-14,111.33999633789062
2020-04-20,112.16000366210938
2020-02-04,112.55999755859375
2020-04-23,110.97000122070312
2018-12-14,111.87000274658203
2019-08-27,114.08999633789062
2018-08-08,114.27999877929688
2018-10-11,109.88999938964844
2018-11-12,110.4000015258789
2019-07-26,110.19999694824219
2019-06-24,109.2300033569336
2019-05-23,109.36000061035156
2019-03-20,110.05000305175781
2019-01-15,111.33999633789062
2019-11-20,111.95999908447266
2020-02-07,112.2300033569336
2020-02-10,111.52999877929688
2020-04-29,109.81999969482422
2019-11-26,110.05999755859375
2020-02-13,111.06999969482422
2019-01-30,111.97000122070312
2018-08-23,124.73999786376953
2018-09-24,124.56999969482422
2018-11-27,122.80999755859375
2018-10-26,123.75
2019-07-09,121.63999938964844
2019-06-07,114.44000244140625
2019-05-06,114.08999633789062
2019-04-04,109.69999694824219
2019-09-11,103.9000015258789
2019-11-29,99.77999877929688
2020-05-05,98.16999816894531
2019-12-02,98.9800033569336
2020-02-19,97.19999694824219
2020-05-08,94.48999786376953
2019-05-21,92.94000244140625
2019-03-18,87.5
2018-09-07,89.98999786376953
2018-08-06,83.63999938964844
2018-10-09,71.30999755859375
2019-02-14,69.9800033569336
2018-12-12,63.970001220703125
2019-07-24,57.9900016784668
2019-09-26,48.13999938964844
2019-10-28,52.75
2019-12-05,56.88999938964844
2020-05-11,54.459999084472656
2019-07-03,61.970001220703125
2020-02-25,70.70999908447266
2020-05-14,66.29000091552734
2020-02-28,61.91999816894531
2019-08-08,60.029998779296875
2019-06-05,61.34000015258789
2018-07-20,53.689998626708984
2018-08-21,54.4900016784668
2018-10-24,48.810001373291016
2019-04-02,53.88999938964844
2019-03-01,61.47999954223633
2019-01-28,61.9900016784668
