Dates,EXPE
2018-06-20,928000.0
2018-06-21,1219700.0
2018-06-25,1497600.0
2018-06-22,1503200.0
2018-06-26,1028400.0
2018-06-27,910300.0
2018-06-28,1317600.0
2018-06-29,1201100.0
2018-07-02,1225400.0
2018-07-03,1223500.0
2018-07-05,1361300.0
2018-07-16,924700.0
2018-09-18,994000.0
2019-01-24,860500.0
2019-09-05,1101300.0
2018-11-21,1030900.0
2020-01-13,984900.0
2020-04-01,898100.0
2020-06-19,1556800.0
2019-10-29,1207800.0
2020-01-16,1072500.0
2020-06-22,1357200.0
2018-10-03,2004700.0
2018-07-31,1773300.0
2019-03-12,1882200.0
2019-02-08,2563000.0
2019-01-07,7309400.0
2018-12-06,2308600.0
2019-08-19,1777600.0
2019-07-18,1318100.0
2019-05-15,1390700.0
2019-09-20,1302900.0
2019-11-01,1461700.0
2020-04-07,747900.0
2020-06-25,1075900.0
2020-06-16,1976000.0
2019-11-04,1078300.0
2020-01-22,808500.0
2019-11-07,1403700.0
2020-04-13,1390500.0
2019-07-01,1016700.0
2019-05-30,858100.0
2018-08-15,1083400.0
2018-10-18,1343100.0
2019-03-27,2425100.0
2019-01-22,1737400.0
2018-12-21,891500.0
2019-09-03,1250600.0
2018-11-19,950500.0
2019-08-02,1019000.0
2020-01-28,791400.0
2020-04-16,1018900.0
2019-11-13,1826100.0
2020-01-31,2221700.0
2018-12-04,2158600.0
2018-11-02,3041000.0
2019-07-16,1281600.0
2018-08-30,994400.0
2018-10-01,1536700.0
2019-06-14,1428100.0
2019-05-13,1095500.0
2019-04-11,1071700.0
2019-02-06,952500.0
2019-09-18,1369000.0
2020-02-03,1586400.0
2020-04-22,2440100.0
2019-11-19,1935200.0
2020-02-06,1411300.0
2019-11-22,2008600.0
2019-03-25,1103900.0
2019-02-21,1281500.0
2018-12-19,1358000.0
2018-07-12,1118600.0
2018-09-14,1209100.0
2018-08-13,1563400.0
2018-10-16,2002500.0
2019-07-31,1520200.0
2019-05-28,1306800.0
2019-04-26,1902400.0
2020-04-28,2086600.0
2019-11-25,1619500.0
2020-02-12,1314900.0
2020-05-01,1639700.0
2020-05-04,1728500.0
2019-06-12,1792600.0
2019-04-09,1499400.0
2019-03-08,1279800.0
2019-02-04,2195600.0
2018-07-27,2923900.0
2018-08-28,4111600.0
2019-01-03,5645300.0
2019-08-15,2884800.0
2018-10-31,2452400.0
