Dates,MRO
2018-06-20,20.799999237060547
2018-06-21,20.790000915527344
2018-06-25,20.940000534057617
2018-06-22,21.3799991607666
2018-06-26,20.440000534057617
2018-06-27,21.149999618530273
2018-06-28,21.3700008392334
2018-06-29,20.739999771118164
2018-07-02,20.649999618530273
2018-07-03,21.0
2018-07-05,21.399999618530273
2018-07-16,20.489999771118164
2018-09-18,21.239999771118164
2019-01-24,22.149999618530273
2019-09-05,21.719999313354492
2018-11-21,21.459999084472656
2020-01-13,21.489999771118164
2020-04-01,20.920000076293945
2020-06-19,19.770000457763672
2019-10-29,19.850000381469727
2020-01-16,20.170000076293945
2020-06-22,20.59000015258789
2018-10-03,20.709999084472656
2018-07-31,20.610000610351562
2019-03-12,20.899999618530273
2019-02-08,21.190000534057617
2019-01-07,21.18000030517578
2018-12-06,21.1200008392334
2019-08-19,21.100000381469727
2019-07-18,20.81999969482422
2019-05-15,19.670000076293945
2019-09-20,20.729999542236328
2019-11-01,20.610000610351562
2020-04-07,20.889999389648438
2020-06-25,20.520000457763672
2020-06-16,20.170000076293945
2019-11-04,20.049999237060547
2020-01-22,20.290000915527344
2019-11-07,20.34000015258789
2020-04-13,20.149999618530273
2019-07-01,19.200000762939453
2019-05-30,19.5
2018-08-15,19.780000686645508
2018-10-18,20.209999084472656
2019-03-27,20.5
2019-01-22,20.729999542236328
2018-12-21,21.0
2019-09-03,20.68000030517578
2018-11-19,20.950000762939453
2019-08-02,20.920000076293945
2020-01-28,21.690000534057617
2020-04-16,21.510000228881836
2019-11-13,21.68000030517578
2020-01-31,21.010000228881836
2018-12-04,21.149999618530273
2018-11-02,20.110000610351562
2019-07-16,20.649999618530273
2018-08-30,20.229999542236328
2018-10-01,20.829999923706055
2019-06-14,20.450000762939453
2019-05-13,20.65999984741211
2019-04-11,21.0
2019-02-06,21.079999923706055
2019-09-18,21.450000762939453
2020-02-03,21.950000762939453
2020-04-22,21.56999969482422
2019-11-19,22.209999084472656
2020-02-06,22.549999237060547
2019-11-22,22.389999389648438
2019-03-25,22.729999542236328
2019-02-21,22.690000534057617
2018-12-19,23.43000030517578
2018-07-12,23.799999237060547
2018-09-14,23.639999389648438
2018-08-13,23.81999969482422
2018-10-16,23.690000534057617
2019-07-31,23.1200008392334
2019-05-28,23.0
2019-04-26,22.809999465942383
2020-04-28,20.889999389648438
2019-11-25,20.579999923706055
2020-02-12,20.920000076293945
2020-05-01,20.950000762939453
2020-05-04,21.139999389648438
2019-06-12,20.5
2019-04-09,20.799999237060547
2019-03-08,20.520000457763672
2019-02-04,19.860000610351562
2018-07-27,19.690000534057617
2018-08-28,18.690000534057617
