Dates,MRO
2018-06-20,21.079999923706055
2018-06-21,20.790000915527344
2018-06-25,21.75
2018-06-22,21.489999771118164
2018-06-26,20.790000915527344
2018-06-27,21.399999618530273
2018-06-28,21.469999313354492
2018-06-29,21.360000610351562
2018-07-02,20.760000228881836
2018-07-03,21.6200008392334
2018-07-05,21.520000457763672
2018-07-16,21.200000762939453
2018-09-18,21.93000030517578
2019-01-24,22.739999771118164
2019-09-05,22.1299991607666
2018-11-21,21.6200008392334
2020-01-13,21.760000228881836
2020-04-01,21.040000915527344
2020-06-19,20.239999771118164
2019-10-29,20.489999771118164
2020-01-16,20.6200008392334
2020-06-22,20.700000762939453
2018-10-03,20.739999771118164
2018-07-31,21.049999237060547
2019-03-12,21.190000534057617
2019-02-08,21.34000015258789
2019-01-07,21.34000015258789
2018-12-06,21.360000610351562
2019-08-19,21.270000457763672
2019-07-18,20.850000381469727
2019-05-15,21.219999313354492
2019-09-20,20.780000686645508
2019-11-01,20.860000610351562
2020-04-07,21.219999313354492
2020-06-25,20.610000610351562
2020-06-16,20.290000915527344
2019-11-04,20.450000762939453
2020-01-22,20.59000015258789
2019-11-07,20.670000076293945
2020-04-13,20.190000534057617
2019-07-01,19.579999923706055
2019-05-30,19.940000534057617
2018-08-15,20.149999618530273
2018-10-18,20.510000228881836
2019-03-27,21.110000610351562
2019-01-22,20.889999389648438
2018-12-21,21.280000686645508
2019-09-03,21.030000686645508
2018-11-19,21.059999465942383
2019-08-02,22.010000228881836
2020-01-28,22.030000686645508
2020-04-16,21.600000381469727
2019-11-13,21.799999237060547
2020-01-31,21.270000457763672
2018-12-04,21.170000076293945
2018-11-02,20.559999465942383
2019-07-16,20.790000915527344
2018-08-30,20.719999313354492
2018-10-01,20.969999313354492
2019-06-14,20.719999313354492
2019-05-13,21.030000686645508
2019-04-11,21.059999465942383
2019-02-06,21.700000762939453
2019-09-18,21.979999542236328
2020-02-03,22.079999923706055
2020-04-22,21.950000762939453
2019-11-19,22.760000228881836
2020-02-06,22.68000030517578
2019-11-22,22.899999618530273
2019-03-25,22.899999618530273
2019-02-21,23.670000076293945
2018-12-19,23.979999542236328
2018-07-12,23.8799991607666
2018-09-14,24.200000762939453
2018-08-13,24.139999389648438
2018-10-16,23.989999771118164
2019-07-31,23.270000457763672
2019-05-28,23.209999084472656
2019-04-26,22.940000534057617
2020-04-28,21.149999618530273
2019-11-25,20.700000762939453
2020-02-12,21.010000228881836
2020-05-01,21.270000457763672
