Dates,MRO
2018-06-20,11199100.0
2018-06-21,14464600.0
2018-06-25,19038200.0
2018-06-22,13759700.0
2018-06-26,14072700.0
2018-06-27,14707100.0
2018-06-28,13084900.0
2018-06-29,13396200.0
2018-07-02,12467400.0
2018-07-03,8530100.0
2018-07-05,8940100.0
2018-07-16,9373100.0
2018-09-18,11746400.0
2019-01-24,15721500.0
2019-09-05,11158900.0
2018-11-21,8909000.0
2020-01-13,8273900.0
2020-04-01,23620100.0
2020-06-19,11575700.0
2019-10-29,17404600.0
2020-01-16,12557800.0
2020-06-22,11073800.0
2018-10-03,7610500.0
2018-07-31,6548600.0
2019-03-12,6787700.0
2019-02-08,7528100.0
2019-01-07,8490400.0
2018-12-06,8970100.0
2019-08-19,10416500.0
2019-07-18,12619200.0
2019-05-15,15249300.0
2019-09-20,13441700.0
2019-11-01,9921600.0
2020-04-07,10473900.0
2020-06-25,10729700.0
2020-06-16,8366900.0
2019-11-04,5786100.0
2020-01-22,7071500.0
2019-11-07,7967100.0
2020-04-13,16138200.0
2019-07-01,10360500.0
2019-05-30,10455000.0
2018-08-15,7269200.0
2018-10-18,7817400.0
2019-03-27,10280300.0
2019-01-22,6363300.0
2018-12-21,10284900.0
2019-09-03,6251300.0
2018-11-19,10588200.0
2019-08-02,17308300.0
2020-01-28,11242100.0
2020-04-16,7197200.0
2019-11-13,6978100.0
2020-01-31,10397300.0
2018-12-04,12791000.0
2018-11-02,6896200.0
2019-07-16,5881100.0
2018-08-30,9748700.0
2018-10-01,8680800.0
2019-06-14,7607400.0
2019-05-13,8089100.0
2019-04-11,5858100.0
2019-02-06,8904800.0
2019-09-18,8009000.0
2020-02-03,7970100.0
2020-04-22,11655300.0
2019-11-19,17304600.0
2020-02-06,13944000.0
2019-11-22,13096300.0
2019-03-25,10788700.0
2019-02-21,11899400.0
2018-12-19,14321900.0
2018-07-12,9888600.0
2018-09-14,12575900.0
2018-08-13,10949500.0
2018-10-16,9526900.0
2019-07-31,7871100.0
2019-05-28,9195700.0
2019-04-26,16397100.0
2020-04-28,22326100.0
2019-11-25,15494900.0
2020-02-12,11811200.0
2020-05-01,12526900.0
2020-05-04,9543900.0
2019-06-12,9054000.0
2019-04-09,13551000.0
2019-03-08,10419300.0
2019-02-04,18252700.0
2018-07-27,18081300.0
2018-08-28,11617000.0
2019-01-03,11082800.0
2019-08-15,11731800.0
2018-10-31,14023400.0
2019-09-16,14835400.0
2020-02-18,12954000.0
2020-05-07,17873500.0
2018-08-17,10104800.0
2019-12-04,14573800.0
2020-02-21,19896500.0
2018-12-17,21615600.0
2019-08-30,17026300.0
2018-11-15,11315200.0
2019-07-29,21411300.0
2019-06-27,19490700.0
2019-04-24,14108100.0
2018-07-10,15480700.0
2018-09-12,10829900.0
2019-02-19,14425600.0
2019-01-18,12515400.0
2020-02-24,7405100.0
2020-05-13,10699200.0
2019-12-10,13631700.0
2020-02-27,10034300.0
2019-12-13,9998400.0
2020-05-19,13260400.0
2019-03-06,15108400.0
2018-11-30,13177500.0
2019-08-13,19130100.0
2019-07-12,21693600.0
2019-06-10,15896300.0
2019-05-09,21603900.0
2018-07-25,18043800.0
2018-09-27,13073900.0
2018-10-29,12708600.0
2019-10-16,13529500.0
2019-12-16,18485600.0
2020-03-04,14545300.0
2020-05-22,20451000.0
2019-10-01,24619800.0
2019-12-19,7147900.0
2018-09-10,16234400.0
2019-05-24,12227200.0
2018-08-09,9668900.0
2019-04-22,9646900.0
2019-03-21,10497100.0
2019-01-16,10915100.0
2019-08-28,14563500.0
2018-11-13,10186700.0
2018-10-12,12484700.0
2019-06-25,12816600.0
2020-03-10,13253600.0
2020-05-28,10834500.0
2019-10-07,10729600.0
2020-03-13,10065800.0
2019-10-10,15802400.0
2020-03-16,10236100.0
2020-06-03,11621100.0
2018-11-28,13352900.0
2018-09-25,9966800.0
2018-07-23,7733900.0
2018-08-24,9403800.0
2019-07-10,7331000.0
2019-05-07,8009800.0
2019-04-05,9960600.0
2019-03-04,12572500.0
2019-01-31,12970300.0
2019-09-12,13278900.0
2019-12-31,7258800.0
2020-03-19,9737300.0
2020-01-03,13165600.0
2020-06-09,11329900.0
2019-02-15,11886000.0
2019-01-14,13141500.0
2018-07-06,25621100.0
2018-08-07,35970000.0
2018-10-10,16683500.0
2018-12-13,11335900.0
2019-08-26,14394700.0
2019-07-25,10405100.0
2019-05-22,12132300.0
2019-03-19,13679900.0
2020-01-06,10659600.0
2020-03-25,9759400.0
2020-06-12,13445100.0
2019-10-22,11559900.0
2020-01-09,11720500.0
2020-06-15,9931500.0
2019-10-25,10385900.0
2020-03-31,11165800.0
2020-06-18,13041600.0
2019-04-03,10014500.0
2018-08-22,8681400.0
2018-10-25,9722500.0
2019-01-29,9602700.0
2018-12-28,12215100.0
2018-11-26,10376200.0
2019-08-09,9457700.0
2019-07-08,13051800.0
2019-06-06,12806800.0
2019-09-10,16337500.0
2020-01-15,11803800.0
2020-04-03,14593000.0
2019-10-31,7851400.0
2020-04-06,14927700.0
2020-06-24,9442600.0
2018-11-09,14543400.0
2019-07-23,11499600.0
2019-06-21,11452300.0
2019-05-20,6670700.0
2019-04-18,9184800.0
2018-09-06,9828400.0
2018-10-08,8182600.0
2019-02-13,8858000.0
2018-12-11,9147800.0
2019-09-25,11850500.0
2020-01-21,8834500.0
2020-04-09,11139300.0
2019-11-06,11885400.0
2020-01-24,9069000.0
2020-01-27,19197200.0
2020-04-15,12840800.0
2018-12-26,12950200.0
2019-08-07,10285700.0
2019-06-04,10651700.0
2018-09-21,8335700.0
2018-07-19,9491400.0
2018-08-20,13709300.0
2018-10-23,28035200.0
2019-05-03,15721800.0
2019-04-01,10869500.0
2019-02-28,14874800.0
2019-11-12,12232800.0
2020-01-30,10373000.0
2019-11-15,9029500.0
2020-04-21,10308000.0
2019-04-16,9638300.0
2019-03-15,7123500.0
