Dates,AMZN
2007-02-12,38.36000061035156
2007-02-13,38.849998474121094
2007-02-15,39.13999938964844
2007-02-14,39.86000061035156
2007-02-16,39.869998931884766
2007-02-20,40.0
2007-02-21,40.91999816894531
2007-02-22,40.88999938964844
2007-02-23,40.7400016784668
2007-02-26,40.400001525878906
2007-02-27,38.779998779296875
2007-03-28,38.08000183105469
2007-11-07,38.04999923706055
2007-09-04,37.689998626708984
2007-08-03,37.040000915527344
2008-04-15,37.40999984741211
2008-05-21,38.279998779296875
2008-08-08,37.97999954223633
2008-08-11,38.0
2008-01-25,38.380001068115234
2007-05-14,37.689998626708984
2007-04-12,37.2599983215332
2007-12-24,37.54999923706055
2007-09-19,37.52000045776367
2008-04-30,38.0
2007-07-17,38.22999954223633
2007-06-15,38.310001373291016
2008-02-26,38.90999984741211
2008-05-27,38.97999954223633
2008-08-14,38.43000030517578
2008-05-30,38.7599983215332
2008-08-20,38.7400016784668
2007-08-01,39.29999923706055
2008-03-12,39.41999816894531
2007-03-26,39.54999923706055
2007-05-29,40.400001525878906
2007-04-27,40.91999816894531
2008-01-08,41.439998626708984
2007-12-07,41.61000061035156
2007-11-05,41.459999084472656
2007-10-04,41.2400016784668
2008-05-15,41.400001525878906
2008-06-05,41.93000030517578
2008-08-26,43.66999816894531
2007-10-19,44.75
2007-09-17,44.630001068115234
2007-08-16,44.40999984741211
2008-04-28,44.52000045776367
2007-04-10,44.15999984741211
2007-03-09,44.43000030517578
2007-06-13,52.95000076293945
2008-03-27,56.06999969482422
2008-01-23,60.619998931884766
2007-11-20,61.18000030517578
2008-06-11,60.279998779296875
2008-08-29,60.900001525878906
2007-12-05,60.7599983215332
2007-10-02,62.349998474121094
2007-04-25,60.709999084472656
2007-08-31,59.70000076293945
2007-07-30,61.29999923706055
2008-04-11,60.849998474121094
2007-06-28,60.560001373291016
2008-03-10,60.599998474121094
2008-02-07,60.52000045776367
2008-05-13,60.099998474121094
2008-06-23,62.02000045776367
2007-07-13,62.279998779296875
2008-03-25,63.29999923706055
2008-02-22,67.20999908447266
2007-12-20,68.79000091552734
2007-05-10,67.70999908447266
2007-03-07,68.25
2007-06-11,67.72000122070312
2007-10-17,68.86000061035156
2007-08-14,68.56999969482422
2008-05-28,68.3499984741211
2008-06-26,67.6500015258789
2007-05-31,70.86000061035156
2008-07-02,71.86000061035156
2007-08-29,70.87999725341797
2008-04-09,71.05000305175781
2007-06-26,71.0
2008-02-05,69.41999816894531
2008-01-04,69.25
2007-03-22,70.80000305175781
2007-05-25,71.19000244140625
2007-04-23,71.4000015258789
2007-12-03,69.68000030517578
2007-11-01,69.05000305175781
2008-07-08,68.66000366210938
2007-12-18,68.41999816894531
2007-11-16,68.30000305175781
2007-10-15,67.37999725341797
2007-09-13,66.70999908447266
2008-04-24,68.1500015258789
2007-07-11,68.1500015258789
2008-02-20,68.19999694824219
2007-03-05,69.0199966430664
2007-05-08,68.05999755859375
2008-06-27,68.01000213623047
2008-07-11,69.0199966430664
2008-07-14,70.06999969482422
2008-03-06,70.1500015258789
2007-05-23,70.7300033569336
2008-01-02,72.97000122070312
2007-03-20,73.0
2007-10-30,73.58999633789062
2007-09-28,72.25
2007-08-27,73.12000274658203
2007-07-26,70.5
2008-04-07,70.8499984741211
2008-05-09,68.8499984741211
2008-07-23,83.6500015258789
2007-09-11,83.43000030517578
2007-04-04,82.4800033569336
2007-06-07,81.51000213623047
2007-08-10,78.0
2008-04-22,75.05999755859375
2007-07-09,76.12000274658203
2008-01-17,76.70999908447266
2007-11-14,76.5999984741211
2008-06-25,77.88999938964844
2008-08-28,76.55999755859375
2008-07-29,74.11000061035156
2007-11-29,72.37000274658203
2007-05-21,74.69999694824219
2007-04-19,72.91999816894531
2007-09-26,72.26000213623047
2007-07-24,70.05000305175781
2007-06-22,73.11000061035156
2008-03-04,73.80000305175781
2008-02-01,74.08999633789062
2007-12-31,77.83999633789062
2008-05-07,76.51000213623047
2008-08-01,76.69000244140625
2008-08-04,78.41999816894531
2008-08-07,76.08000183105469
2008-01-15,76.86000061035156
2007-12-14,78.30000305175781
2007-04-02,79.69999694824219
2007-03-01,79.7300033569336
2007-05-04,82.22000122070312
2007-06-05,82.8499984741211
2007-11-12,83.20999908447266
2007-10-11,82.51000213623047
2007-08-08,83.52999877929688
2008-03-19,85.97000122070312
2008-05-23,86.5
2008-08-13,86.30999755859375
2007-08-23,85.9800033569336
2008-04-03,86.70999908447266
2007-06-20,88.26000213623047
2008-01-30,88.81999969482422
2007-04-17,89.6500015258789
2007-03-16,90.80999755859375
2007-11-27,90.94999694824219
2007-10-26,92.29000091552734
2007-09-24,93.11000061035156
2008-05-05,91.69999694824219
2008-05-29,92.83000183105469
2008-03-14,91.4000015258789
2008-08-19,91.77999877929688
2008-06-04,91.44999694824219
2008-08-22,92.33999633789062
2007-10-09,94.0
2007-09-07,94.75
2007-08-06,94.37000274658203
2008-04-18,88.12999725341797
2007-07-05,88.91999816894531
2008-03-17,90.0999984741211
2007-05-02,88.5
2008-02-14,89.05999755859375
2007-12-12,89.1500015258789
2008-05-20,89.31999969482422
2008-08-25,89.0199966430664
2008-06-10,94.20999908447266
2008-01-28,83.2699966430664
2007-12-27,86.31999969482422
2007-10-24,87.69999694824219
2007-08-21,89.4800033569336
2007-03-14,88.05000305175781
2007-05-17,87.0
2007-06-18,86.5
2007-07-20,83.5
2008-04-01,82.76000213623047
2008-02-29,84.37000274658203
2008-06-13,86.16000366210938
2008-01-10,81.4000015258789
2008-06-16,78.83999633789062
2008-06-19,76.5
