Dates,MGM
2018-06-20,30.15999984741211
2018-06-21,30.579999923706055
2018-06-25,30.6299991607666
2018-06-22,29.81999969482422
2018-06-26,28.81999969482422
2018-06-27,29.15999984741211
2018-06-28,28.399999618530273
2018-06-29,28.610000610351562
2018-07-02,28.190000534057617
2018-07-03,28.229999542236328
2018-07-05,28.059999465942383
2018-07-16,28.31999969482422
2018-09-18,29.450000762939453
2019-01-24,29.510000228881836
2019-09-05,29.450000762939453
2018-11-21,30.31999969482422
2020-01-13,30.59000015258789
2020-04-01,31.0
2020-06-19,31.0
2019-10-29,31.25
2020-01-16,30.829999923706055
2020-06-22,30.709999084472656
2018-10-03,31.170000076293945
2018-07-31,31.329999923706055
2019-03-12,31.200000762939453
2019-02-08,30.920000076293945
2019-01-07,31.489999771118164
2018-12-06,30.719999313354492
2019-08-19,31.059999465942383
2019-07-18,31.260000228881836
2019-05-15,27.079999923706055
2019-09-20,28.889999389648438
2019-11-01,28.329999923706055
2020-04-07,29.399999618530273
2020-06-25,29.530000686645508
2020-06-16,29.059999465942383
2019-11-04,28.989999771118164
2020-01-22,28.75
2019-11-07,29.059999465942383
2020-04-13,28.559999465942383
2019-07-01,28.530000686645508
2019-05-30,28.260000228881836
2018-08-15,28.690000534057617
2018-10-18,28.790000915527344
2019-03-27,29.110000610351562
2019-01-22,28.8799991607666
2018-12-21,28.639999389648438
2019-09-03,28.75
2018-11-19,29.270000457763672
2019-08-02,29.209999084472656
2020-01-28,29.610000610351562
2020-04-16,28.780000686645508
2019-11-13,28.700000762939453
2020-01-31,27.809999465942383
2018-12-04,27.56999969482422
2018-11-02,26.739999771118164
2019-07-16,26.8700008392334
2018-08-30,26.6299991607666
2018-10-01,26.549999237060547
2019-06-14,27.079999923706055
2019-05-13,27.940000534057617
2019-04-11,27.84000015258789
2019-02-06,27.520000457763672
2019-09-18,28.1200008392334
2020-02-03,28.579999923706055
2020-04-22,28.739999771118164
2019-11-19,28.190000534057617
2020-02-06,27.920000076293945
2019-11-22,27.8799991607666
2019-03-25,27.469999313354492
2019-02-21,27.600000381469727
2018-12-19,27.93000030517578
2018-07-12,26.75
2018-09-14,27.079999923706055
2018-08-13,27.479999542236328
2018-10-16,27.010000228881836
2019-07-31,25.920000076293945
2019-05-28,26.600000381469727
2019-04-26,27.260000228881836
2020-04-28,26.149999618530273
2019-11-25,26.579999923706055
2020-02-12,26.329999923706055
2020-05-01,27.139999389648438
2020-05-04,27.520000457763672
2019-06-12,27.920000076293945
2019-04-09,27.040000915527344
2019-03-08,26.889999389648438
2019-02-04,25.479999542236328
2018-07-27,25.260000228881836
2018-08-28,24.40999984741211
2019-01-03,24.850000381469727
2019-08-15,25.18000030517578
2018-10-31,24.030000686645508
2019-09-16,25.700000762939453
2020-02-18,26.6200008392334
2020-05-07,28.280000686645508
2018-08-17,28.25
2019-12-04,27.399999618530273
2020-02-21,27.6200008392334
2018-12-17,26.6200008392334
2019-08-30,26.709999084472656
2018-11-15,25.43000030517578
2019-07-29,25.450000762939453
2019-06-27,26.020000457763672
2019-04-24,25.920000076293945
2018-07-10,26.18000030517578
2018-09-12,26.610000610351562
2019-02-19,25.1200008392334
2019-01-18,25.5
2020-02-24,25.850000381469727
2020-05-13,26.389999389648438
2019-12-10,26.8799991607666
2020-02-27,27.75
2019-12-13,27.610000610351562
2020-05-19,27.229999542236328
2019-03-06,28.0
2018-11-30,27.799999237060547
2019-08-13,26.280000686645508
2019-07-12,27.18000030517578
2019-06-10,26.0
2019-05-09,26.520000457763672
2018-07-25,26.149999618530273
2018-09-27,27.149999618530273
2018-10-29,26.270000457763672
2019-10-16,26.309999465942383
2019-12-16,25.950000762939453
2020-03-04,25.829999923706055
2020-05-22,24.059999465942383
2019-10-01,23.43000030517578
2019-12-19,22.1299991607666
2018-09-10,21.959999084472656
2019-05-24,22.760000228881836
2018-08-09,23.90999984741211
2019-04-22,23.8700008392334
2019-03-21,23.850000381469727
2019-01-16,25.700000762939453
2019-08-28,25.459999084472656
2018-11-13,25.889999389648438
2018-10-12,26.989999771118164
2019-06-25,27.329999923706055
2020-03-10,27.450000762939453
2020-05-28,27.799999237060547
2019-10-07,27.6299991607666
2020-03-13,27.600000381469727
2019-10-10,27.309999465942383
2020-03-16,27.170000076293945
2020-06-03,28.059999465942383
2018-11-28,28.399999618530273
2018-09-25,27.860000610351562
2018-07-23,28.020000457763672
2018-08-24,28.25
2019-07-10,28.299999237060547
2019-05-07,28.59000015258789
2019-04-05,28.690000534057617
2019-03-04,29.25
2019-01-31,29.440000534057617
2019-09-12,29.75
2019-12-31,29.510000228881836
2020-03-19,29.56999969482422
2020-01-03,29.350000381469727
2020-06-09,28.639999389648438
2019-02-15,29.15999984741211
2019-01-14,29.190000534057617
2018-07-06,29.09000015258789
2018-08-07,27.579999923706055
2018-10-10,27.579999923706055
2018-12-13,28.31999969482422
