Dates,MGM
2018-06-20,30.649999618530273
2018-06-21,30.600000381469727
2018-06-25,30.719999313354492
2018-06-22,30.020000457763672
2018-06-26,29.40999984741211
2018-06-27,29.280000686645508
2018-06-28,28.469999313354492
2018-06-29,29.3799991607666
2018-07-02,28.43000030517578
2018-07-03,28.6200008392334
2018-07-05,28.469999313354492
2018-07-16,29.049999237060547
2018-09-18,29.459999084472656
2019-01-24,30.079999923706055
2019-09-05,30.100000381469727
2018-11-21,30.530000686645508
2020-01-13,31.0
2020-04-01,31.200000762939453
2020-06-19,31.440000534057617
2019-10-29,31.3799991607666
2020-01-16,30.959999084472656
2020-06-22,31.299999237060547
2018-10-03,31.229999542236328
2018-07-31,31.540000915527344
2019-03-12,31.549999237060547
2019-02-08,31.40999984741211
2019-01-07,31.59000015258789
2018-12-06,31.139999389648438
2019-08-19,31.65999984741211
2019-07-18,31.3799991607666
2019-05-15,29.09000015258789
2019-09-20,28.899999618530273
2019-11-01,29.399999618530273
2020-04-07,30.09000015258789
2020-06-25,29.920000076293945
2020-06-16,29.489999771118164
2019-11-04,29.040000915527344
2020-01-22,29.270000457763672
2019-11-07,29.100000381469727
2020-04-13,28.6200008392334
2019-07-01,28.920000076293945
2019-05-30,28.65999984741211
2018-08-15,28.790000915527344
2018-10-18,29.1200008392334
2019-03-27,29.190000534057617
2019-01-22,29.020000457763672
2018-12-21,28.809999465942383
2019-09-03,29.559999465942383
2018-11-19,29.3799991607666
2019-08-02,30.010000228881836
2020-01-28,29.6299991607666
2020-04-16,29.329999923706055
2019-11-13,28.780000686645508
2020-01-31,27.84000015258789
2018-12-04,27.700000762939453
2018-11-02,27.040000915527344
2019-07-16,27.100000381469727
2018-08-30,27.049999237060547
2018-10-01,27.360000610351562
2019-06-14,27.860000610351562
2019-05-13,28.15999984741211
2019-04-11,27.959999084472656
2019-02-06,27.780000686645508
2019-09-18,28.530000686645508
2020-02-03,28.829999923706055
2020-04-22,28.84000015258789
2019-11-19,28.280000686645508
2020-02-06,27.959999084472656
2019-11-22,27.979999542236328
2019-03-25,27.920000076293945
2019-02-21,28.190000534057617
2018-12-19,27.979999542236328
2018-07-12,27.270000457763672
2018-09-14,27.93000030517578
2018-08-13,27.56999969482422
2018-10-16,27.450000762939453
2019-07-31,26.530000686645508
2019-05-28,27.489999771118164
2019-04-26,27.34000015258789
2020-04-28,26.790000915527344
2019-11-25,26.670000076293945
2020-02-12,27.100000381469727
2020-05-01,27.700000762939453
2020-05-04,28.450000762939453
2019-06-12,28.059999465942383
2019-04-09,27.540000915527344
2019-03-08,26.979999542236328
2019-02-04,25.6200008392334
2018-07-27,25.450000762939453
2018-08-28,25.3799991607666
2019-01-03,25.290000915527344
2019-08-15,25.459999084472656
2018-10-31,25.200000762939453
2019-09-16,27.09000015258789
2020-02-18,28.229999542236328
2020-05-07,28.559999465942383
2018-08-17,28.25
2019-12-04,27.8799991607666
2020-02-21,28.040000915527344
2018-12-17,27.3700008392334
2019-08-30,26.979999542236328
2018-11-15,25.600000381469727
2019-07-29,26.110000610351562
2019-06-27,26.649999618530273
2019-04-24,26.420000076293945
2018-07-10,26.760000228881836
2018-09-12,26.719999313354492
2019-02-19,25.260000228881836
2019-01-18,26.489999771118164
2020-02-24,26.100000381469727
2020-05-13,27.260000228881836
2019-12-10,27.520000457763672
2020-02-27,27.989999771118164
2019-12-13,27.700000762939453
2020-05-19,27.329999923706055
2019-03-06,28.209999084472656
2018-11-30,28.020000457763672
2019-08-13,27.420000076293945
2019-07-12,27.559999465942383
2019-06-10,26.43000030517578
2019-05-09,26.90999984741211
2018-07-25,27.139999389648438
2018-09-27,27.260000228881836
2018-10-29,26.940000534057617
2019-10-16,26.459999084472656
2019-12-16,26.239999771118164
2020-03-04,26.219999313354492
2020-05-22,24.530000686645508
2019-10-01,23.639999389648438
2019-12-19,22.360000610351562
2018-09-10,23.200000762939453
2019-05-24,23.739999771118164
2018-08-09,24.309999465942383
2019-04-22,24.260000228881836
2019-03-21,25.389999389648438
2019-01-16,25.799999237060547
2019-08-28,26.049999237060547
2018-11-13,26.719999313354492
2018-10-12,27.270000457763672
2019-06-25,27.940000534057617
2020-03-10,28.950000762939453
2020-05-28,28.149999618530273
2019-10-07,27.889999389648438
2020-03-13,27.829999923706055
2019-10-10,27.920000076293945
2020-03-16,27.989999771118164
2020-06-03,28.6200008392334
2018-11-28,28.40999984741211
2018-09-25,28.110000610351562
2018-07-23,28.739999771118164
2018-08-24,28.729999542236328
2019-07-10,28.739999771118164
2019-05-07,28.780000686645508
2019-04-05,29.030000686645508
2019-03-04,29.559999465942383
2019-01-31,30.209999084472656
2019-09-12,29.84000015258789
2019-12-31,29.799999237060547
2020-03-19,29.799999237060547
2020-01-03,29.399999618530273
2020-06-09,28.979999542236328
2019-02-15,29.219999313354492
2019-01-14,29.360000610351562
2018-07-06,29.280000686645508
2018-08-07,28.059999465942383
2018-10-10,28.389999389648438
2018-12-13,28.760000228881836
2019-08-26,28.899999618530273
2019-07-25,28.899999618530273
2019-05-22,28.469999313354492
2019-03-19,28.399999618530273
2020-01-06,27.950000762939453
2020-03-25,27.579999923706055
2020-06-12,27.049999237060547
2019-10-22,27.110000610351562
2020-01-09,27.260000228881836
2020-06-15,27.059999465942383
2019-10-25,27.420000076293945
2020-03-31,26.93000030517578
2020-06-18,26.520000457763672
2019-04-03,26.770000457763672
2018-08-22,26.760000228881836
2018-10-25,27.0
2019-01-29,26.709999084472656
2018-12-28,26.959999084472656
2018-11-26,26.270000457763672
2019-08-09,26.989999771118164
2019-07-08,26.690000534057617
2019-06-06,26.959999084472656
2019-09-10,26.739999771118164
2020-01-15,26.40999984741211
2020-04-03,26.1299991607666
2019-10-31,25.780000686645508
2020-04-06,25.860000610351562
2020-06-24,26.06999969482422
2018-11-09,26.729999542236328
2019-07-23,26.850000381469727
2019-06-21,27.31999969482422
2019-05-20,27.170000076293945
2019-04-18,27.610000610351562
2018-09-06,27.610000610351562
2018-10-08,27.3700008392334
2019-02-13,26.860000610351562
2018-12-11,27.020000457763672
2019-09-25,27.600000381469727
2020-01-21,27.440000534057617
2020-04-09,27.59000015258789
2019-11-06,27.940000534057617
2020-01-24,27.780000686645508
2020-01-27,27.360000610351562
2020-04-15,27.559999465942383
2018-12-26,27.940000534057617
2019-08-07,27.81999969482422
2019-06-04,28.510000228881836
2018-09-21,28.780000686645508
2018-07-19,27.700000762939453
2018-08-20,26.950000762939453
2018-10-23,26.139999389648438
2019-05-03,26.020000457763672
2019-04-01,25.65999984741211
2019-02-28,25.389999389648438
2019-11-12,25.760000228881836
2020-01-30,25.709999084472656
2019-11-15,25.790000915527344
2020-04-21,25.520000457763672
2019-04-16,26.06999969482422
2019-03-15,26.3700008392334
2019-02-11,26.65999984741211
2019-01-10,26.459999084472656
2019-08-22,25.489999771118164
2018-11-07,26.040000915527344
2018-08-03,26.06999969482422
2018-09-04,25.670000076293945
2019-06-19,25.670000076293945
2019-09-23,25.829999923706055
2019-11-18,25.549999237060547
2020-02-05,25.56999969482422
2020-04-24,25.200000762939453
2019-03-29,24.920000076293945
2019-11-21,25.65999984741211
2020-04-27,26.030000686645508
2020-02-11,26.670000076293945
2020-04-30,26.6200008392334
2019-05-01,27.850000381469727
2019-02-26,28.1299991607666
2019-01-25,28.030000686645508
2018-12-24,28.059999465942383
2019-09-06,27.760000228881836
2018-07-17,27.8700008392334
2018-09-19,28.579999923706055
2019-08-05,28.290000915527344
2019-10-08,28.5
2019-12-11,28.1299991607666
2019-11-27,28.579999923706055
2020-02-14,28.040000915527344
2020-05-06,28.1299991607666
2019-01-08,28.510000228881836
2018-12-07,28.579999923706055
2019-08-20,29.299999237060547
2018-11-05,28.989999771118164
2019-07-19,29.190000534057617
2018-10-04,29.260000228881836
2019-06-17,29.170000076293945
2019-05-16,29.25
2018-08-01,29.459999084472656
2019-03-13,29.329999923706055
2019-12-03,29.059999465942383
2020-02-20,29.5
2019-12-06,29.690000534057617
2020-05-12,29.34000015258789
2019-12-09,28.93000030517578
2020-02-26,29.079999923706055
2020-05-15,28.690000534057617
2019-03-28,29.31999969482422
2018-09-17,29.75
2018-08-16,29.690000534057617
2018-10-19,31.68000030517578
2019-04-29,30.600000381469727
2019-01-23,30.6299991607666
2019-09-04,30.479999542236328
2018-11-20,30.450000762939453
2019-07-02,29.299999237060547
2019-05-31,28.110000610351562
2019-12-12,28.510000228881836
2020-05-18,28.31999969482422
2019-09-27,28.920000076293945
2020-03-03,29.0
2020-05-21,28.670000076293945
2019-05-14,29.6299991607666
2018-08-31,28.440000534057617
2018-07-30,28.139999389648438
2018-10-02,28.399999618530273
2019-04-12,29.170000076293945
2019-03-11,28.93000030517578
2019-02-07,29.25
2019-07-17,29.020000457763672
2019-09-19,28.639999389648438
2019-10-21,28.18000030517578
2019-12-18,28.510000228881836
2020-03-06,28.270000457763672
2019-10-03,28.639999389648438
2020-03-09,28.479999542236328
2020-05-27,27.75
2019-12-24,27.790000915527344
2020-03-12,28.360000610351562
2018-12-20,28.559999465942383
2019-08-01,28.81999969482422
2018-08-14,28.81999969482422
2018-07-13,29.209999084472656
2018-10-17,29.260000228881836
2019-05-29,29.530000686645508
2019-03-26,30.5
2019-02-22,29.739999771118164
2019-10-04,29.700000762939453
2019-11-05,29.729999542236328
2019-12-27,29.299999237060547
2020-06-02,28.950000762939453
2019-12-30,28.899999618530273
2020-03-18,28.440000534057617
2020-06-05,28.1299991607666
2019-07-15,28.110000610351562
2018-12-03,27.969999313354492
2019-06-13,28.290000915527344
2019-01-04,27.65999984741211
2018-08-29,27.34000015258789
2019-02-05,27.40999984741211
2018-11-01,27.479999542236328
2019-08-16,27.170000076293945
2019-04-10,27.059999465942383
2019-09-17,27.6200008392334
2019-10-15,28.389999389648438
2020-01-02,27.979999542236328
2020-06-08,28.1200008392334
2019-10-18,27.969999313354492
2020-03-24,27.799999237060547
2020-06-11,28.059999465942383
2020-01-08,28.190000534057617
2019-04-25,28.170000076293945
2019-07-30,28.200000762939453
2019-02-20,28.350000381469727
2018-07-11,28.5
2018-09-13,28.559999465942383
2018-10-15,28.75
2019-06-28,28.8700008392334
2018-12-18,29.329999923706055
2018-11-16,28.850000381469727
2019-10-02,29.889999389648438
2020-03-27,30.559999465942383
2020-01-10,30.6200008392334
2019-10-24,31.15999984741211
2020-03-30,31.469999313354492
2020-06-17,31.520000457763672
2020-01-14,31.530000686645508
2020-04-02,31.200000762939453
2019-01-02,31.389999389648438
2019-08-14,31.34000015258789
2018-10-30,31.68000030517578
2019-06-11,31.969999313354492
2019-05-10,32.16999816894531
2019-04-08,32.040000915527344
2018-08-27,32.02000045776367
2018-07-26,32.130001068115234
2018-09-28,32.189998626708984
2019-03-07,32.2400016784668
2019-10-30,32.2400016784668
2020-01-17,32.150001525878906
2020-06-23,31.690000534057617
2020-04-08,31.93000030517578
2020-06-26,31.940000534057617
2019-03-22,32.22999954223633
2019-01-17,32.04999923706055
2019-08-29,32.060001373291016
2018-11-14,32.29999923706055
2019-06-26,32.779998779296875
2018-09-11,32.970001220703125
2018-07-09,33.06999969482422
2018-08-10,33.099998474121094
2019-04-23,33.470001220703125
2019-09-30,33.54999923706055
2020-01-23,33.529998779296875
2019-11-08,33.599998474121094
2020-04-14,33.560001373291016
2019-11-11,33.58000183105469
2020-01-29,33.869998931884766
2020-04-17,33.66999816894531
2018-07-24,33.58000183105469
2018-09-26,33.70000076293945
2019-05-08,33.43000030517578
2019-03-05,33.04999923706055
2019-02-01,32.90999984741211
2018-12-31,33.529998779296875
2018-11-29,33.54999923706055
2019-08-12,33.560001373291016
2019-07-11,33.470001220703125
2019-09-13,33.380001068115234
2019-11-14,33.36000061035156
2020-04-20,34.09000015258789
2020-02-04,34.63999938964844
2020-04-23,33.88999938964844
2018-12-14,32.689998626708984
2019-08-27,32.400001525878906
2018-08-08,32.400001525878906
2018-10-11,30.799999237060547
2018-11-12,31.139999389648438
2019-07-26,31.719999313354492
2019-06-24,31.670000076293945
2019-05-23,31.229999542236328
2019-03-20,31.65999984741211
2019-01-15,32.43000030517578
2019-11-20,32.869998931884766
2020-02-07,32.77000045776367
2020-02-10,32.150001525878906
2020-04-29,32.13999938964844
2019-11-26,32.86000061035156
2020-02-13,33.779998779296875
2019-01-30,33.0099983215332
2018-08-23,31.850000381469727
2018-09-24,32.09000015258789
2018-11-27,32.349998474121094
2018-10-26,32.349998474121094
