Dates,CLX
2018-06-20,125.79000091552734
2018-06-21,125.91000366210938
2018-06-25,127.0
2018-06-22,128.94000244140625
2018-06-26,129.60000610351562
2018-06-27,129.97999572753906
2018-06-28,130.86000061035156
2018-06-29,133.00999450683594
2018-07-02,133.0
2018-07-03,131.77000427246094
2018-07-05,132.9600067138672
2018-07-16,134.75999450683594
2018-09-18,131.61000061035156
2019-01-24,130.82000732421875
2019-09-05,132.42999267578125
2018-11-21,132.99000549316406
2020-01-13,133.83999633789062
2020-04-01,133.36000061035156
2020-06-19,134.02999877929688
2019-10-29,128.94000244140625
2020-01-16,127.33999633789062
2020-06-22,130.25
2018-10-03,129.89999389648438
2018-07-31,128.27000427246094
2019-03-12,129.33999633789062
2019-02-08,130.6699981689453
2019-01-07,130.0
2018-12-06,131.72000122070312
2019-08-19,133.25
2019-07-18,132.6699981689453
2019-05-15,137.5
2019-09-20,141.0
2019-11-01,141.8300018310547
2020-04-07,139.9499969482422
2020-06-25,140.22999572753906
2020-06-16,139.99000549316406
2019-11-04,139.58999633789062
2020-01-22,139.25999450683594
2019-11-07,140.82000732421875
2020-04-13,142.0800018310547
2019-07-01,144.5399932861328
2019-05-30,146.25
2018-08-15,147.52999877929688
2018-10-18,144.8300018310547
2019-03-27,144.55999755859375
2019-01-22,143.91000366210938
2018-12-21,144.4600067138672
2019-09-03,144.00999450683594
2018-11-19,144.4499969482422
2019-08-02,144.4499969482422
2020-01-28,144.32000732421875
2020-04-16,143.64999389648438
2019-11-13,144.66000366210938
2020-01-31,144.69000244140625
2018-12-04,146.77000427246094
2018-11-02,148.5399932861328
2019-07-16,150.4199981689453
2018-08-30,149.8800048828125
2018-10-01,149.69000244140625
2019-06-14,149.02000427246094
2019-05-13,149.47000122070312
2019-04-11,150.35000610351562
2019-02-06,150.4199981689453
2019-09-18,150.44000244140625
2020-02-03,150.32000732421875
2020-04-22,152.1199951171875
2019-11-19,149.72000122070312
2020-02-06,149.33999633789062
2019-11-22,149.3300018310547
2019-03-25,149.1300048828125
2019-02-21,149.17999267578125
2018-12-19,149.75
2018-07-12,150.32000732421875
2018-09-14,147.0500030517578
2018-08-13,144.16000366210938
2018-10-16,146.9600067138672
2019-07-31,148.5399932861328
2019-05-28,149.6199951171875
2019-04-26,145.5800018310547
2020-04-28,141.52999877929688
2019-11-25,142.0
2020-02-12,144.8699951171875
2020-05-01,146.8800048828125
2020-05-04,147.25
2019-06-12,148.32000732421875
2019-04-09,151.0399932861328
2019-03-08,149.42999267578125
2019-02-04,149.14999389648438
2018-07-27,150.32000732421875
2018-08-28,151.02000427246094
2019-01-03,146.9499969482422
2019-08-15,148.42999267578125
2018-10-31,148.9499969482422
2019-09-16,144.00999450683594
2020-02-18,147.94000244140625
2020-05-07,152.8800048828125
2018-08-17,153.75
2019-12-04,156.27000427246094
2020-02-21,155.85000610351562
2018-12-17,156.8000030517578
2019-08-30,157.22000122070312
2018-11-15,158.38999938964844
2019-07-29,158.57000732421875
2019-06-27,159.25
2019-04-24,158.11000061035156
2018-07-10,160.0800018310547
2018-09-12,161.27000427246094
2019-02-19,160.25
2019-01-18,159.2100067138672
2020-02-24,159.85000610351562
2020-05-13,160.38999938964844
2019-12-10,163.38999938964844
2020-02-27,164.6699981689453
2019-12-13,164.66000366210938
2020-05-19,164.8000030517578
2019-03-06,161.6999969482422
2018-11-30,163.2100067138672
2019-08-13,160.82000732421875
2019-07-12,161.8000030517578
2019-06-10,160.66000366210938
2019-05-09,162.49000549316406
2018-07-25,163.5
2018-09-27,163.57000732421875
2018-10-29,164.1199951171875
2019-10-16,155.5399932861328
2019-12-16,154.72000122070312
2020-03-04,153.42999267578125
2020-05-22,151.32000732421875
2019-10-01,152.22999572753906
2019-12-19,145.35000610351562
2018-09-10,144.8800048828125
2019-05-24,147.25
2018-08-09,151.60000610351562
2019-04-22,152.52000427246094
2019-03-21,149.88999938964844
2019-01-16,150.4600067138672
2019-08-28,151.27999877929688
2018-11-13,152.47000122070312
2018-10-12,150.25
2019-06-25,150.55999755859375
2020-03-10,149.32000732421875
2020-05-28,152.17999267578125
2019-10-07,150.25999450683594
2020-03-13,151.74000549316406
2019-10-10,150.0800018310547
2020-03-16,151.0
2020-06-03,152.5500030517578
2018-11-28,149.75
2018-09-25,150.44000244140625
2018-07-23,148.5399932861328
2018-08-24,146.97999572753906
2019-07-10,145.77999877929688
2019-05-07,145.72999572753906
2019-04-05,145.0
2019-03-04,143.5800018310547
2019-01-31,149.1999969482422
2019-09-12,155.0
2019-12-31,152.0500030517578
2020-03-19,152.36000061035156
2020-01-03,150.69000244140625
2020-06-09,152.64999389648438
2019-02-15,154.50999450683594
2019-01-14,154.22999572753906
2018-07-06,154.0800018310547
2018-08-07,154.52000427246094
2018-10-10,156.07000732421875
2018-12-13,155.33999633789062
2019-08-26,154.83999633789062
2019-07-25,154.4600067138672
2019-05-22,157.8300018310547
2019-03-19,157.07000732421875
2020-01-06,157.14999389648438
2020-03-25,156.52000427246094
2020-06-12,156.4600067138672
2019-10-22,156.1699981689453
2020-01-09,156.27999877929688
2020-06-15,156.72000122070312
2019-10-25,155.02999877929688
2020-03-31,156.8300018310547
2020-06-18,156.55999755859375
2019-04-03,157.3800048828125
2018-08-22,158.8800048828125
2018-10-25,159.13999938964844
2019-01-29,159.77000427246094
2018-12-28,159.75
2018-11-26,158.66000366210938
2019-08-09,155.57000732421875
2019-07-08,155.6699981689453
2019-06-06,156.13999938964844
2019-09-10,157.57000732421875
2020-01-15,157.5
2020-04-03,158.33999633789062
2019-10-31,159.3699951171875
2020-04-06,160.52999877929688
2020-06-24,158.88999938964844
2018-11-09,157.52000427246094
2019-07-23,157.16000366210938
2019-06-21,155.41000366210938
2019-05-20,156.69000244140625
2019-04-18,155.14999389648438
2018-09-06,151.52000427246094
2018-10-08,152.27999877929688
2019-02-13,152.38999938964844
2018-12-11,153.6999969482422
2019-09-25,154.69000244140625
2020-01-21,153.6999969482422
2020-04-09,151.30999755859375
2019-11-06,151.94000244140625
2020-01-24,152.77999877929688
2020-01-27,153.32000732421875
2020-04-15,151.9199981689453
2018-12-26,153.1699981689453
2019-08-07,153.1199951171875
2019-06-04,155.13999938964844
2018-09-21,155.50999450683594
2018-07-19,155.00999450683594
2018-08-20,148.11000061035156
2018-10-23,145.64999389648438
2019-05-03,147.5
2019-04-01,147.00999450683594
2019-02-28,147.08999633789062
2019-11-12,147.2899932861328
2020-01-30,146.57000732421875
2019-11-15,145.58999633789062
2020-04-21,147.0800018310547
2019-04-16,147.13999938964844
2019-03-15,147.3800048828125
2019-02-11,148.02000427246094
2019-01-10,146.77000427246094
2019-08-22,145.25
2018-11-07,147.1199951171875
2018-08-03,147.5
2018-09-04,148.92999267578125
2019-06-19,149.5399932861328
2019-09-23,146.69000244140625
2019-11-18,144.58999633789062
2020-02-05,147.13999938964844
2020-04-24,148.2100067138672
2019-03-29,147.32000732421875
2019-11-21,151.58999633789062
2020-04-27,152.47999572753906
2020-02-11,155.4600067138672
2020-04-30,156.19000244140625
2019-05-01,155.10000610351562
2019-02-26,155.57000732421875
2019-01-25,156.5
2018-12-24,154.60000610351562
2019-09-06,155.1300048828125
2018-07-17,154.2100067138672
2018-09-19,152.5
2019-08-05,151.82000732421875
2019-10-08,152.50999450683594
2019-12-11,153.5800018310547
2019-11-27,154.49000549316406
2020-02-14,154.52000427246094
2020-05-06,151.4600067138672
2019-01-08,150.97000122070312
2018-12-07,152.1199951171875
2019-08-20,151.3000030517578
2018-11-05,152.74000549316406
2019-07-19,154.3800048828125
2018-10-04,153.42999267578125
2019-06-17,155.82000732421875
2019-05-16,153.74000549316406
2018-08-01,153.85000610351562
2019-03-13,153.7899932861328
2019-12-03,155.47000122070312
2020-02-20,157.36000061035156
2019-12-06,158.52999877929688
2020-05-12,158.92999267578125
2019-12-09,158.39999389648438
2020-02-26,161.4199981689453
2020-05-15,159.9600067138672
2019-03-28,162.02000427246094
2018-09-17,163.25
2018-08-16,162.3800048828125
2018-10-19,162.6199951171875
2019-04-29,164.27999877929688
2019-01-23,164.2899932861328
2019-09-04,161.24000549316406
2018-11-20,152.69000244140625
2019-07-02,156.11000061035156
2019-05-31,153.66000366210938
2019-12-12,152.75
2020-05-18,152.83999633789062
2019-09-27,157.16000366210938
2020-03-03,157.67999267578125
2020-05-21,157.47000122070312
2019-05-14,158.19000244140625
2018-08-31,157.07000732421875
2018-07-30,157.99000549316406
2018-10-02,159.6300048828125
2019-04-12,160.75
2019-03-11,158.63999938964844
2019-02-07,157.60000610351562
2019-07-17,157.47999572753906
2019-09-19,155.1199951171875
2019-10-21,156.02999877929688
2019-12-18,157.5
2020-03-06,158.4199981689453
2019-10-03,157.64999389648438
2020-03-09,157.5800018310547
2020-05-27,157.5
2019-12-24,162.11000061035156
2020-03-12,161.5500030517578
2018-12-20,161.3800048828125
2019-08-01,156.25999450683594
2018-08-14,155.0500030517578
2018-07-13,155.27999877929688
2018-10-17,158.75
2019-05-29,157.8800048828125
2019-03-26,153.6999969482422
2019-02-22,153.4600067138672
2019-10-04,154.1300048828125
2019-11-05,154.08999633789062
2019-12-27,151.39999389648438
2020-06-02,149.1300048828125
2019-12-30,149.47999572753906
2020-03-18,149.6699981689453
2020-06-05,150.52999877929688
2019-07-15,150.7899932861328
2018-12-03,150.89999389648438
2019-06-13,151.05999755859375
2019-01-04,144.1199951171875
2018-08-29,146.1300048828125
