Dates,PFE
2018-06-20,20260200.0
2018-06-21,16027600.0
2018-06-25,25634200.0
2018-06-22,19378100.0
2018-06-26,24131900.0
2018-06-27,27890100.0
2018-06-28,15660500.0
2018-06-29,19900100.0
2018-07-02,13810600.0
2018-07-03,9115900.0
2018-07-05,19346400.0
2018-07-16,17984300.0
2018-09-18,21185400.0
2019-01-24,19216200.0
2019-09-05,16883600.0
2018-11-21,16105200.0
2020-01-13,14447100.0
2020-04-01,16972200.0
2020-06-19,14933600.0
2019-10-29,19737600.0
2020-01-16,15746500.0
2020-06-22,14737000.0
2018-10-03,19784700.0
2018-07-31,16892600.0
2019-03-12,16291300.0
2019-02-08,23567900.0
2019-01-07,20979100.0
2018-12-06,20855300.0
2019-08-19,48232800.0
2019-07-18,31057500.0
2019-05-15,30246000.0
2019-09-20,25966200.0
2019-11-01,26071700.0
2020-04-07,17958800.0
2020-06-25,24513700.0
2020-06-16,19090400.0
2019-11-04,17262000.0
2020-01-22,18843100.0
2019-11-07,16448600.0
2020-04-13,21279400.0
2019-07-01,15614300.0
2019-05-30,24583200.0
2018-08-15,21367200.0
2018-10-18,17678600.0
2019-03-27,14233100.0
2019-01-22,19954600.0
2018-12-21,20551900.0
2019-09-03,23231400.0
2018-11-19,18853600.0
2019-08-02,14976300.0
2020-01-28,15194900.0
2020-04-16,19908500.0
2019-11-13,14492200.0
2020-01-31,20702000.0
2018-12-04,17416300.0
2018-11-02,20134400.0
2019-07-16,20381600.0
2018-08-30,18651600.0
2018-10-01,16611200.0
2019-06-14,17709800.0
2019-05-13,15939900.0
2019-04-11,16038200.0
2019-02-06,19416500.0
2019-09-18,22564600.0
2020-02-03,17476100.0
2020-04-22,35192200.0
2019-11-19,17162800.0
2020-02-06,14533700.0
2019-11-22,17442900.0
2019-03-25,14124700.0
2019-02-21,14662800.0
2018-12-19,16008100.0
2018-07-12,17236900.0
2018-09-14,22730200.0
2018-08-13,17989000.0
2018-10-16,17184600.0
2019-07-31,23415200.0
2019-05-28,20386000.0
2019-04-26,32017300.0
2020-04-28,42029600.0
2019-11-25,28858700.0
2020-02-12,22773000.0
2020-05-01,21208400.0
2020-05-04,21967900.0
2019-06-12,21345700.0
2019-04-09,18562500.0
2019-03-08,17103300.0
2019-02-04,21891000.0
2018-07-27,35035300.0
2018-08-28,36623000.0
2019-01-03,28743200.0
2019-08-15,30215900.0
2018-10-31,33609300.0
2019-09-16,26748800.0
2020-02-18,23034300.0
2020-05-07,22982000.0
2018-08-17,20520300.0
2019-12-04,21057100.0
2020-02-21,34909800.0
2018-12-17,24380000.0
2019-08-30,24708400.0
2018-11-15,20734200.0
2019-07-29,19126200.0
2019-06-27,26943900.0
2019-04-24,24607500.0
2018-07-10,23344000.0
2018-09-12,22458800.0
2019-02-19,21791800.0
2019-01-18,18658300.0
2020-02-24,8390900.0
2020-05-13,19115700.0
2019-12-10,18753200.0
2020-02-27,18873500.0
2019-12-13,24729900.0
2020-05-19,42746200.0
2019-03-06,25399600.0
2018-11-30,27233300.0
2019-08-13,30539400.0
2019-07-12,26531200.0
2019-06-10,24846200.0
2019-05-09,22680200.0
2018-07-25,19147000.0
2018-09-27,22404100.0
2018-10-29,31333000.0
2019-10-16,36671600.0
2019-12-16,29531100.0
2020-03-04,35045500.0
2020-05-22,32727400.0
2019-10-01,58755400.0
2019-12-19,18764900.0
2018-09-10,24133900.0
2019-05-24,27414300.0
2018-08-09,24175500.0
2019-04-22,19482000.0
2019-03-21,25076200.0
2019-01-16,27043200.0
2019-08-28,25754600.0
2018-11-13,19919800.0
2018-10-12,18669100.0
2019-06-25,19077400.0
2020-03-10,37695600.0
2020-05-28,19985300.0
2019-10-07,16703200.0
2020-03-13,24540200.0
2019-10-10,28623700.0
2020-03-16,22938600.0
2020-06-03,36639900.0
2018-11-28,27935600.0
2018-09-25,23209500.0
2018-07-23,32631900.0
2018-08-24,34025100.0
2019-07-10,37314700.0
2019-05-07,48744600.0
2019-04-05,34220000.0
2019-03-04,38830600.0
2019-01-31,25844100.0
2019-09-12,18431200.0
2019-12-31,20045200.0
2020-03-19,15607600.0
2020-01-03,23005700.0
2020-06-09,26091200.0
2019-02-15,25713600.0
2019-01-14,28975500.0
2018-07-06,23488800.0
2018-08-07,18847200.0
2018-10-10,18186900.0
2018-12-13,23181200.0
2019-08-26,25953400.0
2019-07-25,18607100.0
2019-05-22,23509800.0
2019-03-19,23979900.0
2020-01-06,15701100.0
2020-03-25,15631000.0
2020-06-12,37004200.0
2019-10-22,25301500.0
2020-01-09,21637400.0
2020-06-15,25170600.0
2019-10-25,21262200.0
2020-03-31,27558000.0
2020-06-18,29702200.0
2019-04-03,27667500.0
2018-08-22,22932200.0
2018-10-25,22500300.0
2019-01-29,30474000.0
2018-12-28,70938000.0
2018-11-26,18021200.0
2019-08-09,25050500.0
2019-07-08,22295100.0
2019-06-06,23019500.0
2019-09-10,18614900.0
2020-01-15,18807700.0
2020-04-03,19781100.0
2019-10-31,18458300.0
2020-04-06,16048900.0
2020-06-24,20571000.0
2018-11-09,19302700.0
2019-07-23,17670900.0
2019-06-21,15370400.0
2019-05-20,12325400.0
2019-04-18,14761900.0
2018-09-06,14620800.0
2018-10-08,17860600.0
2019-02-13,12526200.0
2018-12-11,19179200.0
2019-09-25,20245300.0
2020-01-21,17422000.0
2020-04-09,26097700.0
2019-11-06,40239200.0
2020-01-24,47988400.0
2020-01-27,29429700.0
2020-04-15,25305600.0
2018-12-26,20111000.0
2019-08-07,17201200.0
2019-06-04,19025800.0
2018-09-21,22038900.0
2018-07-19,32600000.0
2018-08-20,19642700.0
2018-10-23,19422400.0
2019-05-03,17708500.0
2019-04-01,24642700.0
