Dates,PFE
2018-06-20,36.58000183105469
2018-06-21,36.36000061035156
2018-06-25,36.63999938964844
2018-06-22,36.459999084472656
2018-06-26,36.59000015258789
2018-06-27,36.54999923706055
2018-06-28,36.4900016784668
2018-06-29,36.58000183105469
2018-07-02,36.369998931884766
2018-07-03,36.58000183105469
2018-07-05,36.90999984741211
2018-07-16,37.2400016784668
2018-09-18,37.470001220703125
2019-01-24,37.5
2019-09-05,37.40999984741211
2018-11-21,37.560001373291016
2020-01-13,37.59000015258789
2020-04-01,37.54999923706055
2020-06-19,37.77000045776367
2019-10-29,37.72999954223633
2020-01-16,37.599998474121094
2020-06-22,37.33000183105469
2018-10-03,37.5099983215332
2018-07-31,37.75
2019-03-12,38.06999969482422
2019-02-08,38.369998931884766
2019-01-07,38.47999954223633
2018-12-06,38.68000030517578
2019-08-19,39.9900016784668
2019-07-18,40.31999969482422
2019-05-15,40.220001220703125
2019-09-20,40.65999984741211
2019-11-01,41.220001220703125
2020-04-07,41.25
2020-06-25,41.63999938964844
2020-06-16,41.369998931884766
2019-11-04,41.310001373291016
2020-01-22,41.209999084472656
2019-11-07,41.040000915527344
2020-04-13,41.2400016784668
2019-07-01,41.470001220703125
2019-05-30,42.189998626708984
2018-08-15,42.77000045776367
2018-10-18,42.439998626708984
2019-03-27,42.34000015258789
2019-01-22,42.31999969482422
2018-12-21,42.4900016784668
2019-09-03,42.619998931884766
2018-11-19,41.779998779296875
2019-08-02,41.619998931884766
2020-01-28,41.90999984741211
2020-04-16,41.58000183105469
2019-11-13,41.54999923706055
2020-01-31,41.91999816894531
2018-12-04,41.90999984741211
2018-11-02,42.349998474121094
2019-07-16,42.720001220703125
2018-08-30,42.43000030517578
2018-10-01,42.790000915527344
2019-06-14,42.91999816894531
2019-05-13,43.0
2019-04-11,43.18000030517578
2019-02-06,43.68000030517578
2019-09-18,43.68000030517578
2020-02-03,43.880001068115234
2020-04-22,44.20000076293945
2019-11-19,44.459999084472656
2020-02-06,44.290000915527344
2019-11-22,44.310001373291016
2019-03-25,44.18000030517578
2019-02-21,44.13999938964844
2018-12-19,44.52000045776367
2018-07-12,44.38999938964844
2018-09-14,44.84000015258789
2018-08-13,44.790000915527344
2018-10-16,45.0
2019-07-31,45.31999969482422
2019-05-28,45.810001373291016
2019-04-26,45.72999954223633
2020-04-28,44.4900016784668
2019-11-25,43.959999084472656
2020-02-12,43.709999084472656
2020-05-01,43.97999954223633
2020-05-04,44.79999923706055
2019-06-12,44.5
2019-04-09,44.83000183105469
2019-03-08,44.5099983215332
2019-02-04,44.31999969482422
2018-07-27,44.290000915527344
2018-08-28,43.939998626708984
2019-01-03,43.279998779296875
2019-08-15,43.68000030517578
2018-10-31,43.09000015258789
2019-09-16,43.65999984741211
2020-02-18,43.83000183105469
2020-05-07,43.84000015258789
2018-08-17,43.619998931884766
2019-12-04,43.59000015258789
2020-02-21,44.560001373291016
2018-12-17,44.20000076293945
2019-08-30,44.61000061035156
2018-11-15,44.54999923706055
2019-07-29,44.459999084472656
2019-06-27,43.849998474121094
2019-04-24,43.38999938964844
2018-07-10,43.779998779296875
2018-09-12,44.27000045776367
2019-02-19,44.38999938964844
2019-01-18,43.5
2020-02-24,43.54999923706055
2020-05-13,43.4900016784668
2019-12-10,44.150001525878906
2020-02-27,44.91999816894531
2019-12-13,45.83000183105469
2020-05-19,46.2599983215332
2019-03-06,46.380001068115234
2018-11-30,46.470001220703125
2019-08-13,44.9900016784668
2019-07-12,44.939998626708984
2019-06-10,44.560001373291016
2019-05-09,44.5099983215332
2018-07-25,44.849998474121094
2018-09-27,44.900001525878906
2018-10-29,44.119998931884766
2019-10-16,43.970001220703125
2019-12-16,43.5
2020-03-04,42.9900016784668
2020-05-22,42.40999984741211
2019-10-01,42.869998931884766
2019-12-19,41.959999084472656
2018-09-10,42.20000076293945
2019-05-24,42.849998474121094
2018-08-09,43.540000915527344
2019-04-22,43.72999954223633
2019-03-21,43.5
2019-01-16,43.34000015258789
2019-08-28,43.349998474121094
2018-11-13,43.619998931884766
2018-10-12,43.70000076293945
2019-06-25,43.66999816894531
2020-03-10,43.22999954223633
2020-05-28,42.880001068115234
2019-10-07,42.630001068115234
2020-03-13,43.2400016784668
2019-10-10,42.790000915527344
2020-03-16,42.65999984741211
2020-06-03,42.880001068115234
2018-11-28,42.689998626708984
2018-09-25,42.20000076293945
2018-07-23,41.790000915527344
2018-08-24,41.25
2019-07-10,40.529998779296875
2019-05-07,40.849998474121094
2019-04-05,41.75
2019-03-04,42.619998931884766
2019-01-31,43.119998931884766
2019-09-12,42.84000015258789
2019-12-31,42.72999954223633
2020-03-19,42.369998931884766
2020-01-03,42.150001525878906
2020-06-09,42.2400016784668
2019-02-15,42.310001373291016
2019-01-14,42.0099983215332
2018-07-06,42.060001373291016
2018-08-07,42.119998931884766
2018-10-10,42.5099983215332
2018-12-13,42.86000061035156
2019-08-26,42.560001373291016
2019-07-25,42.31999969482422
2019-05-22,43.130001068115234
2019-03-19,43.369998931884766
2020-01-06,43.22999954223633
2020-03-25,43.220001220703125
2020-06-12,43.779998779296875
2019-10-22,43.790000915527344
2020-01-09,43.59000015258789
2020-06-15,43.25
2019-10-25,42.869998931884766
2020-03-31,41.88999938964844
2020-06-18,41.439998626708984
2019-04-03,41.52000045776367
2018-08-22,41.91999816894531
2018-10-25,42.130001068115234
2019-01-29,42.08000183105469
2018-12-28,41.880001068115234
2018-11-26,42.06999969482422
2019-08-09,42.43000030517578
2019-07-08,42.400001525878906
2019-06-06,42.63999938964844
