Dates,MTD
2018-06-20,170300.0
2018-06-21,258800.0
2018-06-25,184800.0
2018-06-22,310600.0
2018-06-26,208200.0
2018-06-27,170600.0
2018-06-28,158000.0
2018-06-29,253500.0
2018-07-02,191200.0
2018-07-03,206600.0
2018-07-05,168000.0
2018-07-16,139500.0
2018-09-18,141600.0
2019-01-24,152000.0
2019-09-05,158600.0
2018-11-21,156000.0
2020-01-13,186400.0
2020-04-01,162400.0
2020-06-19,153000.0
2019-10-29,128900.0
2020-01-16,164000.0
2020-06-22,161100.0
2018-10-03,188600.0
2018-07-31,165800.0
2019-03-12,186100.0
2019-02-08,193400.0
2019-01-07,316500.0
2018-12-06,216400.0
2019-08-19,225400.0
2019-07-18,145800.0
2019-05-15,130000.0
2019-09-20,111000.0
2019-11-01,121500.0
2020-04-07,99800.0
2020-06-25,154100.0
2020-06-16,93800.0
2019-11-04,75000.0
2020-01-22,91800.0
2019-11-07,92300.0
2020-04-13,146000.0
2019-07-01,123800.0
2019-05-30,92500.0
2018-08-15,110900.0
2018-10-18,117300.0
2019-03-27,89600.0
2019-01-22,118700.0
2018-12-21,110300.0
2019-09-03,109000.0
2018-11-19,139300.0
2019-08-02,182200.0
2020-01-28,168400.0
2020-04-16,206800.0
2019-11-13,182200.0
2020-01-31,223500.0
2018-12-04,166100.0
2018-11-02,172700.0
2019-07-16,252100.0
2018-08-30,186000.0
2018-10-01,172400.0
2019-06-14,168200.0
2019-05-13,168900.0
2019-04-11,256200.0
2019-02-06,182900.0
2019-09-18,207100.0
2020-02-03,169800.0
2020-04-22,237100.0
2019-11-19,146900.0
2020-02-06,253900.0
2019-11-22,132500.0
2019-03-25,136800.0
2019-02-21,141100.0
2018-12-19,115300.0
2018-07-12,78500.0
2018-09-14,133800.0
2018-08-13,284900.0
2018-10-16,144200.0
2019-07-31,132500.0
2019-05-28,151700.0
2019-04-26,243800.0
2020-04-28,212800.0
2019-11-25,196100.0
2020-02-12,168900.0
2020-05-01,100700.0
2020-05-04,155500.0
2019-06-12,182300.0
2019-04-09,196100.0
2019-03-08,140100.0
2019-02-04,265000.0
2018-07-27,161400.0
2018-08-28,132300.0
2019-01-03,139100.0
2019-08-15,181600.0
2018-10-31,202100.0
2019-09-16,291900.0
2020-02-18,176600.0
2020-05-07,206300.0
2018-08-17,189600.0
2019-12-04,167100.0
2020-02-21,171800.0
2018-12-17,227900.0
2019-08-30,446400.0
2018-11-15,213900.0
2019-07-29,199800.0
2019-06-27,268000.0
2019-04-24,183800.0
2018-07-10,169200.0
2018-09-12,176500.0
2019-02-19,137300.0
2019-01-18,103100.0
2020-02-24,84400.0
2020-05-13,174200.0
2019-12-10,142400.0
2020-02-27,137100.0
2019-12-13,120000.0
2020-05-19,175400.0
2019-03-06,242400.0
2018-11-30,310200.0
2019-08-13,333100.0
2019-07-12,222000.0
2019-06-10,155000.0
2019-05-09,114100.0
2018-07-25,145300.0
2018-09-27,113900.0
2018-10-29,164400.0
2019-10-16,143700.0
2019-12-16,166800.0
2020-03-04,174800.0
2020-05-22,240200.0
2019-10-01,269500.0
2019-12-19,64600.0
2018-09-10,114800.0
2019-05-24,94500.0
2018-08-09,102900.0
2019-04-22,89800.0
2019-03-21,212200.0
2019-01-16,290300.0
2019-08-28,186500.0
2018-11-13,196600.0
2018-10-12,188400.0
2019-06-25,204900.0
2020-03-10,123200.0
2020-05-28,85800.0
2019-10-07,108600.0
2020-03-13,121700.0
2019-10-10,111400.0
2020-03-16,109200.0
2020-06-03,122900.0
2018-11-28,119500.0
2018-09-25,148000.0
2018-07-23,95500.0
2018-08-24,118400.0
2019-07-10,112600.0
2019-05-07,98100.0
2019-04-05,118200.0
2019-03-04,98300.0
2019-01-31,131800.0
2019-09-12,113800.0
2019-12-31,102700.0
2020-03-19,103800.0
2020-01-03,147800.0
2020-06-09,289800.0
2019-02-15,150800.0
2019-01-14,150800.0
2018-07-06,131200.0
2018-08-07,150700.0
2018-10-10,168300.0
2018-12-13,128700.0
2019-08-26,129000.0
2019-07-25,132200.0
2019-05-22,127900.0
2019-03-19,141900.0
2020-01-06,104200.0
2020-03-25,109500.0
2020-06-12,202400.0
2019-10-22,138800.0
2020-01-09,113700.0
2020-06-15,109100.0
2019-10-25,111200.0
2020-03-31,115100.0
2020-06-18,88300.0
2019-04-03,106800.0
2018-08-22,95900.0
2018-10-25,126200.0
2019-01-29,136600.0
2018-12-28,217600.0
2018-11-26,120000.0
2019-08-09,115900.0
2019-07-08,108200.0
2019-06-06,111900.0
2019-09-10,180100.0
2020-01-15,121700.0
2020-04-03,98700.0
2019-10-31,152900.0
2020-04-06,116700.0
