Dates,MTD
2018-06-20,572.6500244140625
2018-06-21,574.739990234375
2018-06-25,574.260009765625
2018-06-22,563.8200073242188
2018-06-26,566.1099853515625
2018-06-27,564.0599975585938
2018-06-28,560.4299926757812
2018-06-29,573.6400146484375
2018-07-02,566.0499877929688
2018-07-03,576.260009765625
2018-07-05,577.72998046875
2018-07-16,580.75
2018-09-18,584.6400146484375
2019-01-24,591.7899780273438
2019-09-05,579.8699951171875
2018-11-21,585.4299926757812
2020-01-13,581.280029296875
2020-04-01,574.719970703125
2020-06-19,573.7999877929688
2019-10-29,580.3800048828125
2020-01-16,583.9199829101562
2020-06-22,594.5399780273438
2018-10-03,593.1799926757812
2018-07-31,594.6500244140625
2019-03-12,600.5800170898438
2019-02-08,609.280029296875
2019-01-07,586.4000244140625
2018-12-06,580.5499877929688
2019-08-19,585.4299926757812
2019-07-18,585.1500244140625
2019-05-15,582.02001953125
2019-09-20,582.3800048828125
2019-11-01,582.8099975585938
2020-04-07,583.7899780273438
2020-06-25,576.280029296875
2020-06-16,574.5
2019-11-04,570.6300048828125
2020-01-22,565.8400268554688
2019-11-07,561.510009765625
2020-04-13,552.8699951171875
2019-07-01,561.7999877929688
2019-05-30,562.1199951171875
2018-08-15,560.6799926757812
2018-10-18,563.2100219726562
2019-03-27,561.2999877929688
2019-01-22,561.72998046875
2018-12-21,562.760009765625
2019-09-03,567.7100219726562
2018-11-19,571.1400146484375
2019-08-02,575.6799926757812
2020-01-28,577.469970703125
2020-04-16,576.1199951171875
2019-11-13,576.280029296875
2020-01-31,575.1300048828125
2018-12-04,583.0700073242188
2018-11-02,585.1300048828125
2019-07-16,591.989990234375
2018-08-30,588.2999877929688
2018-10-01,592.8499755859375
2019-06-14,603.2100219726562
2019-05-13,606.3699951171875
2019-04-11,607.8800048828125
2019-02-06,602.7999877929688
2019-09-18,604.030029296875
2020-02-03,613.1699829101562
2020-04-22,611.3699951171875
2019-11-19,605.6199951171875
2020-02-06,605.0999755859375
2019-11-22,610.25
2019-03-25,604.1699829101562
2019-02-21,606.6099853515625
2018-12-19,611.5900268554688
2018-07-12,611.1599731445312
2018-09-14,613.47998046875
2018-08-13,608.7100219726562
2018-10-16,596.2999877929688
2019-07-31,590.22998046875
2019-05-28,583.469970703125
2019-04-26,566.969970703125
2020-04-28,554.260009765625
2019-11-25,550.3900146484375
2020-02-12,550.3599853515625
2020-05-01,560.260009765625
2020-05-04,568.6500244140625
2019-06-12,561.530029296875
2019-04-09,555.97998046875
2019-03-08,554.260009765625
2019-02-04,532.6599731445312
2018-07-27,523.8699951171875
