Dates,MTD
2018-06-20,583.6300048828125
2018-06-21,580.260009765625
2018-06-25,578.989990234375
2018-06-22,575.52001953125
2018-06-26,571.52001953125
2018-06-27,573.3099975585938
2018-06-28,564.8800048828125
2018-06-29,575.0700073242188
2018-07-02,574.3800048828125
2018-07-03,576.260009765625
2018-07-05,582.8400268554688
2018-07-16,583.75
2018-09-18,585.02001953125
2019-01-24,592.4500122070312
2019-09-05,588.6900024414062
2018-11-21,588.3900146484375
2020-01-13,583.9099731445312
2020-04-01,581.9400024414062
2020-06-19,573.7999877929688
2019-10-29,585.4500122070312
2020-01-16,587.0
2020-06-22,595.010009765625
2018-10-03,602.1099853515625
2018-07-31,594.75
2019-03-12,603.3800048828125
2019-02-08,612.5900268554688
2019-01-07,611.9400024414062
2018-12-06,589.2000122070312
2019-08-19,585.4299926757812
2019-07-18,589.969970703125
2019-05-15,586.0800170898438
2019-09-20,590.260009765625
2019-11-01,585.0399780273438
2020-04-07,589.0
2020-06-25,583.22998046875
2020-06-16,584.5700073242188
2019-11-04,572.280029296875
2020-01-22,574.280029296875
2019-11-07,567.3800048828125
2020-04-13,559.3800048828125
2019-07-01,563.1599731445312
2019-05-30,568.25
2018-08-15,564.0599975585938
2018-10-18,566.5399780273438
2019-03-27,563.9600219726562
2019-01-22,567.0399780273438
2018-12-21,564.3200073242188
2019-09-03,570.0
2018-11-19,575.280029296875
2019-08-02,578.27001953125
2020-01-28,581.7999877929688
2020-04-16,578.489990234375
2019-11-13,580.5900268554688
2020-01-31,583.0
2018-12-04,583.6099853515625
2018-11-02,586.47998046875
2019-07-16,596.3499755859375
2018-08-30,594.3699951171875
2018-10-01,596.0
2019-06-14,603.780029296875
2019-05-13,610.0
2019-04-11,611.77001953125
2019-02-06,611.4299926757812
2019-09-18,610.0
2020-02-03,616.780029296875
2020-04-22,619.1300048828125
2019-11-19,611.239990234375
2020-02-06,612.3400268554688
2019-11-22,611.5399780273438
2019-03-25,613.02001953125
2019-02-21,610.0
2018-12-19,611.5900268554688
2018-07-12,613.260009765625
2018-09-14,618.760009765625
2018-08-13,611.52001953125
2018-10-16,611.7899780273438
2019-07-31,603.9199829101562
2019-05-28,589.72998046875
2019-04-26,591.489990234375
2020-04-28,567.8200073242188
2019-11-25,562.0
2020-02-12,557.3499755859375
2020-05-01,561.5399780273438
2020-05-04,573.27001953125
2019-06-12,577.989990234375
2019-04-09,566.8900146484375
2019-03-08,559.0700073242188
2019-02-04,544.0800170898438
2018-07-27,542.5499877929688
2018-08-28,527.0
2019-01-03,530.0
2019-08-15,543.7999877929688
2018-10-31,535.5
2019-09-16,546.989990234375
2020-02-18,549.8400268554688
2020-05-07,563.780029296875
2018-08-17,567.3699951171875
2019-12-04,575.280029296875
2020-02-21,580.5700073242188
2018-12-17,589.1599731445312
2019-08-30,612.4000244140625
2018-11-15,604.719970703125
2019-07-29,599.530029296875
2019-06-27,591.3099975585938
2019-04-24,580.0999755859375
2018-07-10,592.4099731445312
2018-09-12,600.0
2019-02-19,574.1199951171875
2019-01-18,587.969970703125
2020-02-24,586.9400024414062
2020-05-13,602.5700073242188
2019-12-10,601.1599731445312
2020-02-27,607.0
2019-12-13,620.1300048828125
2020-05-19,631.4500122070312
2019-03-06,635.0
2018-11-30,640.8599853515625
2019-08-13,620.25
2019-07-12,611.780029296875
2019-06-10,592.6900024414062
2019-05-09,600.0599975585938
2018-07-25,604.3099975585938
2018-09-27,607.0399780273438
2018-10-29,594.8800048828125
2019-10-16,584.72998046875
2019-12-16,577.25
2020-03-04,575.7899780273438
2020-05-22,554.7999877929688
2019-10-01,553.030029296875
2019-12-19,542.3099975585938
2018-09-10,534.8499755859375
2019-05-24,544.8499755859375
2018-08-09,567.1400146484375
2019-04-22,561.4199829101562
2019-03-21,557.47998046875
2019-01-16,525.9600219726562
2019-08-28,521.530029296875
2018-11-13,526.75
2018-10-12,547.2000122070312
2019-06-25,560.0999755859375
2020-03-10,566.739990234375
2020-05-28,576.1900024414062
2019-10-07,572.75
2020-03-13,573.6099853515625
2019-10-10,583.469970703125
2020-03-16,577.27001953125
2020-06-03,592.2899780273438
2018-11-28,597.3099975585938
2018-09-25,598.1400146484375
2018-07-23,604.1500244140625
2018-08-24,612.0
2019-07-10,608.3300170898438
2019-05-07,619.7999877929688
2019-04-05,622.8099975585938
2019-03-04,631.989990234375
